Label: 180223 G489  PRMT5 DR 																																																													
Metric: Phase Object Confluence (Percent																																																													
Cell Type: G489 																																																													
Passage: 14																																																													
Notes: 																																																													
Analysis Job: 180227 G489 DR PRMT5																																																													

Date Time	Elapsed	B2	C2	D2	B3	C3	D3	B4	C4	D4	B5	C5	D5	B6	C6	D6	B7	C7	D7	B8	C8	D8	B9	C9	D9	B10	C10	D10	B11	C11	D11	E11	F11	G11	E2	F2	G2	E3	F3	G3	E4	F4	G4	E5	F5	G5	E6	F6	G6	E7	F7	G7	E8	F8	G8	E9	F9	G9	E10	F10	G10
43155	0	12.07226	12.13115	9.635365	10.53031	11.12354	9.657693	10.43045	9.963251	10.58082	11.39021	12.12595	11.39931	14.17671	12.53424	9.908819	14.61412	12.58121	11.60341	11.37066	12.57348	13.12707	9.636229	12.14262	13.39113	10.96539	11.18139	12.02683	10.24767	11.58982	12.01503	12.6759	11.6653	10.50997	10.2412	10.07593	11.37099	12.54203	13.16323	9.735109	11.36054	11.61849	11.42651	11.2424	11.20365	9.438013	11.57972	13.38789	11.23924	12.33156	11.94798	10.64693	11.42076	11.24551	10.36336	19.91041	12.05577	11.72455	12.57329	11.17161	10.77747
43155.3333333333	8	14.50495	14.75911	11.93465	12.56249	12.66402	11.40043	12.33425	11.53432	13.07825	13.89337	13.6311	13.51564	15.96237	14.77234	11.93133	16.96646	14.47787	14.12873	13.30617	15.11931	15.35275	11.15678	13.601	15.15231	12.87475	12.86058	14.19283	11.8989	12.97592	14.03373	14.95807	13.18254	12.20043	11.80589	11.77836	12.71831	15.09581	15.27801	11.31035	13.63083	14.12569	13.90368	13.19195	13.30296	11.21638	14.09768	15.45469	13.16434	14.41909	13.81234	12.75453	13.31442	13.38478	12.2892	21.58507	14.06674	13.29261	14.67209	12.9257	12.55797
43155.6673611111	16.0166666666667	16.74322	16.47379	13.35866	14.47015	14.92787	13.0338	14.31185	13.27754	15.28155	15.08766	15.75935	15.90077	18.40987	16.85486	13.54985	19.5131	16.37095	15.98965	15.28047	17.09029	17.68794	12.98462	15.99675	17.48385	14.56023	14.92464	16.83732	13.71808	15.01242	15.87238	17.13987	15.18683	13.63185	13.81524	13.80255	14.89056	17.29066	16.95053	13.11674	15.64981	16.55963	15.95532	15.49298	15.2519	13.09657	16.43227	18.09642	15.33037	16.70186	16.10056	14.50523	15.78161	15.55605	14.01929	23.18463	16.40696	15.00169	16.66912	15.12632	14.26931
43156	24	18.45238	18.83629	14.87435	16.29842	16.81269	14.7703	16.51876	14.29314	16.70511	16.85799	18.18891	16.89445	20.817	19.63788	15.20163	22.20779	18.22063	18.27334	17.57816	18.36027	19.51281	14.03843	17.26683	19.57845	16.69316	16.8054	18.57814	15.69169	17.52806	17.87455	19.53246	16.89923	15.56218	15.84682	15.85874	17.59025	19.27215	19.13831	14.88248	17.11264	18.28881	18.05832	17.22288	17.19644	14.46642	18.05112	20.45013	17.2775	18.9828	17.45657	16.41951	17.80906	17.46011	15.76636	26.37748	18.62001	17.04955	18.50148	16.44701	15.71963
43156.3333333333	32	21.96395	21.75936	17.07347	19.26044	19.74813	17.06337	19.33592	17.57292	20.31381	20.6667	21.24736	20.52558	24.62443	22.78912	18.09131	26.50325	21.66986	21.52252	20.2696	22.07475	23.07901	16.22334	20.45738	23.11106	19.89847	19.94779	22.48833	17.83476	20.85575	21.51446	23.28082	20.14459	18.72598	18.73047	19.47569	19.62965	23.63103	23.32181	17.11015	21.30268	21.61042	21.30704	20.88847	20.38375	17.01196	21.4936	23.64804	20.13359	22.96543	21.1101	19.69387	20.50246	20.99492	18.4208	29.49035	22.08995	19.86389	22.34011	20.11366	19.07937
43156.6673611111	40.0166666666667	24.74981	25.22014	19.97736	21.97794	22.50654	20.57411	22.25543	19.78902	23.74701	24.55656	24.96918	24.03324	28.04646	26.27573	20.93202	30.8105	24.62808	24.60932	23.85726	25.99538	27.13131	18.88466	23.25672	26.43509	22.93861	23.28609	26.14932	20.84718	24.61796	24.69154	26.55942	23.11954	21.47127	21.95641	22.49622	23.07397	27.15007	27.53157	19.97612	24.24204	24.94417	24.89112	23.74606	23.55453	19.63661	24.39572	27.66842	23.76345	26.6367	24.33455	23.05209	24.01518	24.12368	22.00158	33.6264	25.75866	23.10291	24.88269	23.40745	21.83929
43157	48	27.61494	28.29361	22.85814	24.76008	26.05772	23.24072	24.65586	22.9703	27.07806	27.42624	27.94022	26.76507	32.16128	29.39807	23.88342	34.68606	28.57899	28.62381	26.64249	29.51899	30.47481	21.47734	25.68397	29.6312	26.27038	26.76227	29.39557	23.46395	28.21526	28.28001	30.19124	26.8453	23.89768	24.26513	25.88939	26.24455	30.39183	30.88572	23.20407	27.87168	28.68586	28.00107	26.67661	25.58708	22.22506	28.5779	31.29117	26.54794	30.57455	27.46109	25.61182	27.13239	27.34608	24.85613	38.80118	29.51785	26.29776	28.73872	26.57634	24.86311
43157.3333333333	56	30.74528	31.83747	25.83551	27.92112	28.65708	26.96264	28.18893	25.37418	30.34434	30.4757	30.99711	30.23137	34.93198	33.03073	26.92453	38.95232	31.35308	31.57305	29.55337	33.14562	34.05069	24.13284	29.67066	33.30905	29.63521	29.87221	33.82636	27.26939	33.12308	32.29389	34.56682	30.53895	27.1836	27.25359	29.5042	29.22916	33.89737	34.08091	26.37874	30.91031	32.74817	31.61392	30.02916	28.83052	24.7574	31.8399	35.29353	29.15711	33.85777	30.97525	28.88965	30.72951	30.45064	27.88381	41.83928	32.75064	28.7932	32.01424	30.08601	28.51612
43157.6673611111	64.0166666666667	35.38515	37.02351	30.02165	32.03102	33.4975	30.45036	32.8934	30.06612	34.30426	35.99193	36.12255	34.29067	40.66819	39.14689	30.82727	44.52004	35.91532	36.3838	35.1421	38.14568	39.82624	28.04408	35.07232	38.60534	34.72191	34.69767	40.30574	32.55023	37.61472	37.87753	39.84318	34.6025	31.78251	31.5385	32.76249	32.48635	38.95669	38.85195	29.92379	35.77795	36.92099	35.61688	34.095	33.26497	28.05939	36.45096	41.14493	33.9545	38.61292	35.35375	33.96339	34.93459	35.85269	32.28074	50.07273	37.43218	33.07035	37.46496	34.98563	33.0843
43158	72	36.93114	39.703	32.79901	34.68933	35.61058	33.7419	35.47907	32.13034	37.31903	38.50126	39.4724	37.44861	44.72608	41.96102	35.02796	48.04988	39.40578	39.98313	38.0477	41.28847	44.50108	30.51239	38.59561	41.2882	39.41309	38.9856	43.84167	35.93064	41.90968	40.92924	44.47255	38.11496	35.17597	34.12487	35.05277	35.45181	41.76838	41.50261	32.65645	39.07897	40.04754	39.13207	37.36906	35.17637	31.06318	39.22617	43.28403	36.47707	41.96501	38.48699	36.98963	38.40432	38.35661	35.61277	49.21931	40.84392	35.88538	40.92606	38.963	36.03545
