Label: 180208 G514  PRMT5 DR 																																																													
Metric: Phase Object Confluence (Percent)																																																													
Cell Type: G514																																																													
Passage: 13																																																													
Notes: 																																																													
Analysis Job: 180226 514 DR PRMT5																																																													

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
43139.6277777778	0	9.978258	8.636092	7.490536	8.612815	7.865947	8.90321	10.4689	9.354605	7.927269	6.885378	11.47021	8.990677	8.61993	7.867502	7.799444	8.297998	7.984775	8.912258	10.4837	9.360355	9.433835	9.929333	9.789749	13.44807	8.942946	9.6971	9.807226	10.04946	9.465385	8.487648	8.408436	5.428616	6.799585	7.199571	7.260911	7.733148	9.134995	6.548649	8.070342	10.44576	8.967052	8.187013	7.430578	8.396209	6.551172	9.151054	8.615146	8.288814	9.043676	9.462086	6.532002	8.142908	10.04203	8.428864	7.761106	9.058095	7.428504	9.201307	8.642518	8.127676
43139.7944444444	4	11.02198	9.069613	8.744197	9.536811	8.993301	9.912601	11.98308	10.76609	8.89169	7.682324	13.05794	10.47771	9.678846	8.579623	8.932067	9.034004	9.230889	10.08923	11.66856	10.30683	10.61904	11.43673	10.9906	14.79286	10.04695	10.81553	10.78921	11.17148	10.70423	9.294525	9.755419	6.615964	7.79668	8.434996	7.669857	9.198562	9.279311	7.216995	9.325956	11.2018	9.837896	9.356695	8.164665	9.901409	7.252154	10.35722	10.05611	9.366487	10.60984	10.73996	7.753042	9.572005	11.50378	9.187785	8.417986	9.93455	7.626184	10.4267	8.90359	9.392855
43139.9611111111	8	12.50299	10.87545	9.548657	10.91695	10.79576	10.88443	13.08578	12.06446	10.41029	8.506437	15.28005	11.88193	11.12509	10.04675	10.39024	10.8	10.41521	11.15167	13.29204	11.97661	11.70314	13.23851	12.59337	15.93094	11.28799	12.17738	11.89211	13.20906	12.47819	10.58499	11.00139	7.002307	8.934363	9.809384	8.919977	10.56399	10.5076	8.171402	10.29894	13.50714	10.79058	10.74797	9.465384	10.99179	8.561871	11.61413	11.65506	10.19419	11.89286	12.22085	8.294703	10.99575	12.99013	10.20857	9.558604	11.08116	9.854681	11.14119	10.39731	10.65814
43140.1277777778	12	13.8934	12.35285	11.26245	12.33593	11.9334	12.70018	14.96942	14.16041	11.33759	9.689986	16.85721	13.20623	12.42681	11.035	10.67829	11.98164	12.00832	13.20267	15.01305	13.64975	13.11583	15.21978	14.62988	17.8445	12.93052	14.11239	13.68809	14.80152	14.61445	12.04805	12.69056	8.066285	10.03298	10.6882	10.01188	11.71317	11.70108	9.552713	11.86813	15.1181	12.45413	11.53751	10.38349	12.57607	9.306303	13.44044	12.83611	11.55447	13.1789	14.331	9.233963	12.49907	14.34445	11.71716	10.83663	12.49537	10.77837	13.15232	11.62892	12.15538
43140.2944444444	16	16.03227	13.94921	12.60168	13.91469	13.38711	13.87221	16.64572	15.94335	12.67271	11.2241	19.07243	15.45143	14.22773	12.63416	12.26157	14.05174	12.91933	14.89281	17.16999	15.0667	15.25408	17.22247	16.32543	18.28527	14.30651	16.08644	15.59101	16.12485	16.28727	13.8505	13.78435	8.794278	11.77632	11.95508	11.2332	13.8141	12.7045	10.76239	13.60779	16.91706	13.93692	13.05166	11.82259	14.15031	10.81819	15.2265	14.80449	12.76895	14.33865	16.14987	10.37102	13.31919	17.19988	13.79911	12.037	14.2514	11.62128	15.40997	13.7399	13.92345
43140.4611111111	20	16.85242	15.59745	13.52877	15.05075	15.0267	15.17316	19.1453	17.93779	14.02382	12.72726	22.08465	17.03463	15.82691	14.01606	14.30858	15.86573	14.68256	16.42704	18.88674	15.64712	15.93249	19.62971	18.10683	19.37199	16.28595	17.74667	16.69338	18.70272	18.45144	15.38633	14.68434	10.09332	13.26512	13.08564	12.55336	15.72093	14.24767	12.07057	15.17789	18.93837	15.90828	14.91169	12.97681	15.7363	11.77917	17.46257	17.23129	14.84301	16.59888	17.77653	11.44416	15.51934	19.33742	15.98352	13.6521	15.35436	12.89087	16.85642	15.2657	15.28736
43140.6277777778	24	19.28917	17.20834	15.15324	16.75187	16.84524	17.76219	20.65981	20.38375	15.88687	13.02385	24.76538	19.74309	18.06587	16.64458	15.50085	17.74675	16.64303	18.03574	21.11573	18.57078	18.48604	22.32741	20.41363	22.77542	18.80947	20.59904	18.85814	21.18484	20.51142	17.01056	17.54435	11.6632	14.94094	15.66536	13.96136	18.77295	16.39808	13.5303	17.25307	21.51138	18.08317	17.13364	14.6488	17.56457	14.26508	19.66318	19.07293	17.09601	19.0751	20.67784	13.15802	18.19024	21.92247	17.79592	15.75065	18.22464	14.15829	18.92352	16.93464	17.22596
43140.7944444444	28	21.3976	18.90558	17.02935	19.78909	19.50548	20.11026	23.86047	23.11992	17.33669	15.23812	28.44394	22.50796	20.50171	18.93896	17.47017	20.01839	19.31616	20.90475	24.22419	20.50631	21.46312	25.51222	24.65538	24.30808	20.89189	23.75905	21.75355	25.02205	23.09732	19.66717	19.74525	13.06437	17.02669	17.52333	16.1176	21.19477	17.71888	16.15794	20.08386	24.7286	20.94551	19.40622	16.95272	20.22993	16.93021	22.19843	21.85806	19.52912	21.28908	23.81391	15.30285	21.0672	25.5329	20.91199	17.99918	20.35747	16.89959	22.04151	19.62241	20.07185
43140.9611111111	32	23.9733	21.09518	18.986	21.47911	21.83101	21.98157	26.22249	25.28112	19.65317	16.94281	32.34413	25.57045	23.19981	21.29659	20.76719	23.31396	21.46223	23.55277	26.31741	23.67058	24.0893	28.73597	27.22134	26.49924	23.37051	26.18818	24.3732	28.33656	26.40028	22.63874	22.12801	15.01725	19.81013	19.72116	18.17689	23.92749	20.26884	17.96298	22.78537	27.52189	23.19451	21.86041	19.07049	23.63913	18.96486	25.60768	24.5661	22.33815	25.09879	27.31976	17.26566	23.92977	28.54395	22.90577	20.77493	24.12429	18.9412	25.13673	22.72936	22.76487
43141.1277777778	36	26.38194	22.60639	19.59267	23.81597	23.86947	24.22301	28.10373	28.05459	21.49325	18.72998	34.95121	26.79812	25.86631	23.01551	22.15592	25.72312	23.97394	25.85863	29.64779	25.45537	26.17799	31.55671	30.40913	28.57876	27.08496	28.97055	27.01139	30.57732	28.62024	24.70244	24.84065	16.76783	22.49613	22.41638	19.51892	26.75417	22.24519	20.55615	26.50658	30.81446	25.90964	24.05889	22.20606	26.33512	21.56801	29.0728	27.28282	25.81425	27.34261	30.48467	19.39919	26.37735	32.31651	26.91183	23.59725	26.63314	21.78639	28.26757	25.84386	25.65405
43141.2944444444	40	27.73853	25.67161	22.26272	25.97611	27.27707	26.83927	30.9792	31.08285	23.55066	20.46086	37.05905	30.47282	27.257	25.08798	23.82624	28.83921	26.80421	27.9216	32.40271	29.17727	28.78507	34.82401	32.80364	31.11846	29.64025	31.92886	29.43756	33.44903	30.41439	27.41288	27.30192	18.3051	25.0651	24.99579	21.4178	30.29188	25.4383	23.51566	29.47654	33.23074	29.19027	26.01181	25.02543	29.7077	24.72441	33.03502	31.39692	28.42125	31.63477	35.15048	21.87921	29.60714	36.00961	30.74923	25.93458	29.50686	24.04146	31.90805	29.06994	29.19338
43141.4611111111	44	29.05977	28.12518	23.21602	28.38885	29.17313	28.09576	34.1587	32.40557	25.57735	22.66169	40.44457	32.29752	30.65691	28.36537	26.1693	30.98053	28.59009	29.96593	35.53605	32.17141	31.28121	37.91803	36.41626	33.45321	33.08751	35.64743	32.83776	36.09145	34.09753	29.27838	30.66493	20.48493	27.88598	26.82169	24.01812	31.88295	28.41957	26.88589	32.77928	36.19091	30.83718	28.65678	27.89989	33.05948	27.26679	36.46622	35.45222	31.94124	34.85382	39.84221	24.84627	34.13052	41.65509	34.32321	29.63282	33.96422	27.19922	36.39134	32.32262	32.91545
43141.6277777778	48	30.85157	29.97803	25.09306	31.27601	30.98001	30.54763	35.45701	36.17697	27.03634	24.34322	43.59554	35.05225	33.51161	29.95485	28.5993	33.15075	31.08037	32.22825	37.62312	34.06218	34.36245	39.84544	38.05091	35.62705	35.98121	38.29852	35.56152	38.88855	35.36885	31.63178	33.78289	22.66941	31.08257	29.18571	25.33474	33.65733	31.16838	28.8995	36.32695	37.81244	34.0461	30.58216	31.75	37.70248	30.39791	40.67506	38.25851	34.73038	39.04197	44.03497	27.57553	38.58741	45.61341	36.57867	33.46273	37.18011	31.13998	40.77808	36.4847	36.96718
43141.7944444444	52	31.95318	31.56904	26.78475	31.87042	33.3955	31.80955	37.50305	37.57859	28.58864	25.66591	44.2622	36.31833	35.70558	32.65205	31.26229	35.43636	32.74696	34.41494	39.3544	37.31163	36.12791	41.96259	40.20063	36.93456	38.04004	40.92459	38.23393	41.14336	37.50221	33.33264	37.18548	24.72447	34.57694	30.73716	26.70397	35.74741	33.42263	33.14748	40.7273	41.18151	35.6739	32.89917	35.32296	41.48973	34.34864	44.21963	41.48827	38.03898	42.07257	47.75939	30.25274	41.77145	49.19952	40.32771	36.68628	42.71317	34.45322	45.51239	39.79736	41.23331
43141.9611111111	56	33.97035	33.1974	28.27479	33.79082	35.09147	33.42384	39.08869	40.55391	30.55005	27.37837	46.76072	39.09537	37.59361	34.77386	32.52521	36.56189	35.68959	35.86259	42.10725	39.21935	38.85072	44.6922	41.98973	37.73969	41.2936	43.34428	40.32598	42.52074	40.19201	34.88692	39.2092	27.57488	37.80573	32.86746	28.53896	37.59881	37.69911	36.46116	44.23539	43.39091	38.0582	34.91474	39.54722	44.95615	38.40272	47.06426	44.19183	40.05569	46.83728	53.00121	33.50977	46.57481	53.64257	44.74826	41.67098	47.00438	39.28125	49.55689	43.8605	44.65899
43142.1277777778	60	36.22665	34.87065	29.73736	35.39624	36.07319	34.68705	41.20627	40.9863	31.77531	28.4103	48.08372	39.6359	39.18625	36.04214	34.62827	38.1021	36.8896	37.65537	43.72601	41.30013	40.62785	46.87753	44.48738	40.19981	42.83477	46.1979	43.1975	44.25956	41.8473	35.9949	42.32232	29.13472	40.77493	34.33376	29.62386	39.58708	40.39425	40.54387	48.02014	45.12169	39.95859	37.23473	42.77613	48.83919	42.06131	49.82877	47.52255	42.93692	51.64463	58.56295	37.78869	49.81847	56.29418	49.43568	46.25737	51.96029	43.57378	54.6954	48.1361	48.50607
43142.2944444444	64	37.26301	36.89026	31.1678	37.59184	37.67964	36.9828	43.30452	43.78004	33.19285	30.5256	50.72417	41.0779	40.60153	37.58311	36.61045	40.31302	39.0288	39.5786	45.39499	44.24168	42.96648	48.55139	45.8849	42.15646	45.77367	48.99128	45.41698	46.09753	44.06664	38.31105	44.48436	31.44453	43.43394	36.31614	31.55561	41.0991	43.61975	43.69666	51.43379	46.72638	41.11538	38.67215	46.20517	52.80307	45.40582	52.69801	49.93171	45.82793	54.80563	61.66534	40.33391	52.98116	60.92316	51.93214	49.68989	56.92117	48.91139	59.93947	52.38365	54.19035
43142.4611111111	68	38.48362	37.51232	31.77112	38.10676	40.04286	37.60632	44.4321	44.45975	34.2245	30.89648	51.90796	42.65501	43.56223	39.1745	37.39967	41.36533	40.35792	41.57101	48.0654	46.13248	44.5696	49.5557	47.55187	42.99701	49.1908	51.86292	47.26263	47.61715	46.52417	39.73511	46.59835	33.84393	46.49792	37.36877	33.70612	43.04644	46.92891	47.11994	54.23149	48.95463	43.25494	41.07544	51.00769	56.17595	49.25728	55.69931	52.86525	48.8012	59.26645	65.77508	44.49066	57.0499	64.65757	55.86905	54.48982	60.58455	54.03017	63.77481	56.87743	57.36127
43142.6277777778	72	39.49986	39.05948	33.52063	40.01709	41.5382	39.38451	45.58306	46.18002	36.02175	32.40194	53.87292	45.33799	44.84941	41.04124	38.82663	43.87074	41.9879	42.56051	49.62413	47.8101	46.50953	50.68632	48.19234	44.03162	50.47045	52.14386	49.48686	49.19243	46.74636	42.00217	50.18702	36.69747	49.52974	39.91092	34.90556	44.56445	49.43114	51.02563	57.94844	50.98238	44.92536	41.7297	54.79863	61.24023	52.60601	58.80249	54.52539	52.33689	63.3036	70.24149	48.16268	59.45944	67.47157	59.60393	58.70525	65.79611	58.26632	67.98872	60.8644	60.29212
43142.7944444444	76	41.17368	41.11644	34.21245	40.74651	41.86185	40.42312	47.8758	48.39565	36.55846	33.84511	53.80387	47.16111	45.85168	42.85804	40.00639	44.9403	43.84779	43.1969	51.77738	49.52092	48.03659	52.89686	49.74632	45.02016	52.20713	55.20265	50.95656	50.28075	49.37299	42.93804	52.29367	38.95622	52.66154	41.75218	36.32203	46.03992	51.50387	54.42202	61.76455	52.86099	47.23095	43.71163	58.63207	64.38185	57.02473	61.20252	57.13947	54.05754	66.57796	73.35567	51.42263	63.92595	71.59313	62.70292	62.89354	68.70278	62.86753	71.54017	63.42781	63.98135
