Label: 180216 G564 PRMT5 DR 																																																													
Metric: Phase Object Confluence (Percent)																																																													
Cell Type: G564																																																													
Passage: 13																																																													
Notes: 																																																													
Analysis Job: 180227 G564 DR PRMT5																																																													

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
43148	0	3.356802	4.415201	5.223599	4.157496	3.662463	4.695046	4.312158	5.02618	6.051682	3.588724	3.86976	4.128053	4.602122	4.867512	5.204016	3.358598	3.915454	4.206229	4.436806	4.534255	5.338628	4.003439	4.737009	5.346467	3.526695	2.276297	4.292523	4.132474	5.301983	6.316122	4.421418	3.867325	3.523102	5.020653	4.134374	5.073496	3.620585	4.230458	4.151262	4.090285	4.245119	4.547241	3.883869	5.112715	4.058614	4.41287	4.926105	3.579572	4.174818	4.408363	5.408792	3.954948	4.573767	3.629652	3.628028	4.055023	4.128847	3.552097	3.2999	3.678419
43148.3333333333	8	3.402755	4.912601	5.432174	4.252873	3.918165	4.716339	4.596837	5.374633	6.488502	3.822927	4.107969	4.471776	4.932996	4.825531	5.300791	3.788614	4.124772	4.518591	4.479079	4.62742	5.508244	4.48844	4.76635	5.60533	3.920358	2.448055	4.261093	4.32378	5.574626	6.608867	4.831419	4.154785	3.759878	4.993645	4.452175	5.041946	3.818092	4.484797	3.96512	4.541145	4.782807	4.922341	4.088593	5.291362	4.063968	4.850554	5.550484	3.775489	4.507833	4.357765	5.876005	4.315836	4.724248	3.941271	4.104516	4.081962	4.33566	3.83726	3.561612	3.94438
43148.6673611111	16.0166666666667	3.7844	5.301275	5.630647	4.826101	4.398883	5.049423	5.352943	6.040665	6.599299	3.816934	4.452952	5.053827	5.058524	5.077226	5.990273	4.182019	4.758147	4.626782	4.823907	5.12615	5.504169	4.719102	5.341719	5.777209	4.158049	2.845294	4.574301	4.471189	5.786465	7.257111	5.105721	4.347973	3.92155	5.529796	4.581572	5.39009	4.150571	4.746698	4.060393	4.490512	5.020912	5.153452	4.173832	5.225463	4.519196	5.080801	5.954285	4.221081	4.651062	4.550591	6.11271	4.800284	4.775244	4.080338	4.241269	4.298325	4.665033	4.091805	3.705653	4.097884
43149	24	3.962667	5.701	6.243541	5.071545	4.614503	5.385927	5.589011	6.535094	6.89769	4.12674	5.080403	5.206278	5.613707	5.340666	6.428941	4.353482	5.13627	4.98444	5.282417	5.275907	5.921474	4.98988	5.802042	6.177539	4.452071	3.169019	4.961611	4.656226	5.684353	7.606238	5.321894	4.84185	4.175958	5.896175	4.846599	5.981967	4.576615	5.17642	4.160328	4.757923	5.332877	5.326954	4.337474	5.611098	4.952751	5.439616	6.15407	4.600153	5.034089	4.827015	6.289372	4.991659	5.358764	4.580311	4.782047	4.607665	4.758216	4.420279	4.009467	4.51481
43149.3333333333	32	4.417377	6.187918	6.375321	5.248639	4.791925	5.672852	6.230503	6.751906	6.807323	4.248694	5.144938	5.562072	6.226738	5.762996	6.382176	4.927038	5.312482	5.356933	5.360576	5.760578	6.513473	5.412971	6.052425	6.898158	4.596095	3.179328	5.424869	5.023762	5.84297	8.240167	5.525582	4.930682	4.420365	6.328851	5.313	6.469662	4.904416	5.704454	4.333554	5.296647	5.717474	5.526514	4.777074	5.935565	5.051703	5.996542	6.577247	4.719724	5.140327	5.223339	6.466984	5.814769	5.545354	4.807399	5.058714	4.994301	5.218642	4.682267	4.196041	4.719982
43149.6673611111	40.0166666666667	4.782047	6.448627	6.817995	5.542298	5.263905	6.108014	6.14471	6.944179	7.338898	4.598806	5.401936	6.071161	6.275229	5.762651	6.872876	5.116859	5.416942	5.562278	5.890269	6.20365	6.936252	5.631683	6.325206	6.993914	4.736216	3.351051	5.337211	5.248846	6.555264	8.50483	6.017524	5.202548	4.630201	6.424123	5.689015	6.844278	5.414594	6.170631	4.769165	5.566578	6.132743	5.760423	5.028735	6.369847	5.528137	6.402951	6.968443	5.058334	5.375237	5.326884	7.216459	5.971243	5.812955	5.18628	5.379952	5.027544	5.3541	4.961524	4.526172	4.99399
43150	48	5.110297	6.85685	7.081692	5.817013	5.5777	6.805613	6.990339	7.453217	7.791794	5.070423	5.857717	6.307178	6.890783	6.494616	7.599779	5.561259	5.721585	6.066707	6.290461	6.666476	6.927895	6.103265	6.86835	7.085112	5.23776	3.563529	5.793959	5.902737	6.750783	9.461448	6.10095	5.619785	4.989586	6.930121	5.936205	7.108494	5.642373	6.697198	5.186522	5.759871	6.49755	6.256147	4.999499	6.68941	5.664563	6.597815	7.08777	5.350924	5.8195	5.370505	7.397888	6.281118	6.15502	5.533473	5.797258	4.994543	5.761219	5.270104	4.760772	5.181013
43150.3333333333	56	5.599614	7.108096	7.612196	6.517358	6.011428	7.267974	6.973709	8.057788	8.254189	5.215776	6.457607	6.740301	7.225198	6.910245	8.403584	5.98701	6.150323	6.403383	6.583361	6.965247	7.481608	6.448939	7.266799	7.806663	5.921145	3.833271	6.28369	6.042858	7.035619	9.557188	6.615843	5.9485	5.125959	7.697574	6.602512	7.839906	6.141982	7.080225	5.682885	6.116665	6.967043	6.46239	5.320565	6.941588	6.187606	7.337706	7.717606	5.864607	5.891374	5.537739	7.918357	6.306849	6.5759	6.033774	6.3083	5.547583	6.112366	5.538464	4.930975	5.576905
43150.6673611111	64.0166666666667	5.547704	7.638653	8.033543	6.442307	6.368862	8.13056	7.568332	8.681561	8.83087	5.78669	6.622664	7.287142	7.820996	7.097822	9.174766	6.585623	6.623684	6.519068	7.110756	7.554846	7.962463	6.977906	7.687247	7.95205	6.479764	4.33257	6.970082	6.382401	7.752317	10.4333	7.23967	6.336258	5.337142	8.149487	7.195288	8.070325	6.291013	7.460712	6.142673	6.454982	7.1689	6.95138	5.820899	7.543672	6.481387	8.018019	7.896443	6.27554	6.675301	6.153327	8.04014	6.970411	6.547631	6.380812	6.689324	5.547255	6.714847	6.173031	5.097327	6.00288
43151	72	6.126681	8.012578	8.518044	7.129354	7.195927	8.064661	8.101444	9.152195	9.044142	5.7349	7.288973	7.709161	8.457601	7.058828	9.40453	7.100102	6.764633	7.143895	7.402844	8.337495	8.831784	7.410529	8.221724	8.646264	6.894289	4.325938	7.294014	6.854847	8.362828	10.77529	8.006395	7.060796	5.812006	8.717223	7.884495	8.853838	6.564209	8.056786	6.531433	6.859129	7.612403	7.584169	6.063269	7.827524	6.730509	8.963513	8.718431	6.979978	6.807201	6.33923	8.630653	7.233953	7.343438	6.384732	7.261807	5.811539	7.102104	6.226151	5.619784	6.076257
