Label: 171108 semi log dose response PRMT5i day 																																																													
Metric: Phase Object Confluence (Percent)																																																													
Cell Type: G567																																																													
Passage: 12																																																													
Notes: 																																																													
Analysis Job: 567 DR PRMT5I																																																													

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
43047.7972222222	0	4.536517	4.180585	3.041521	4.846219	3.994512	4.132232	5.069283	4.088887	4.669644	5.715592	6.68169	4.04561	4.573317	4.013819	4.857513	4.727322	3.568416	4.527813	5.981155	5.07923	4.342309	6.099828	4.452503	6.517236	3.997067	5.353479	4.093532	5.942905	4.399868	4.206316	4.945188	5.67337	5.72535	5.682178	5.192825	3.966225	4.685117	4.633361	4.897145	5.905104	3.878032	3.812479	5.392766	5.237863	5.226051	5.112213	5.806324	4.734834	4.881862	6.152896	4.593815	4.99513	5.381317	5.340251	4.355918	5.67862	5.084463	6.793231	6.037884	5.079247
43048.1277777778	7.93333333333333	5.093804	4.936985	3.514951	5.936654	4.730379	4.961732	5.754828	4.936329	5.644755	6.912146	7.757859	4.924259	5.539449	5.019341	5.8778	5.36631	4.406585	5.470632	6.872012	6.110224	5.596178	7.36796	5.462308	7.812896	5.145663	6.346914	4.839796	7.152511	5.419205	5.113906	5.956858	6.717178	7.281806	6.674903	6.872599	5.214568	5.543127	5.462947	6.168541	7.241276	4.595007	4.736094	6.266924	6.599749	6.3709	6.422863	7.691375	5.649469	5.86604	6.969634	5.672956	5.747937	6.380087	5.978289	5.167854	6.780953	6.097773	8.312127	6.971999	5.788191
43048.4611111111	15.9333333333333	5.922182	5.648071	4.077662	7.204924	5.523924	5.687686	6.747243	5.450357	6.407129	8.215092	9.325092	5.962781	6.114058	5.625967	6.950379	6.456088	5.145647	6.436056	8.209376	7.300214	5.871895	9.048494	6.690774	9.560469	5.578339	7.505698	5.818067	8.459655	6.683365	6.13162	7.167743	7.878762	8.320313	8.502121	7.389287	6.090745	6.274504	6.299302	6.830221	8.44489	5.522456	5.157752	7.435896	7.516146	7.684415	7.93012	8.746494	6.673349	6.84369	8.20542	6.11506	6.829444	7.771175	6.321235	6.219606	7.679027	7.026396	8.977863	8.389147	6.721184
43048.7972222222	24	6.750387	6.498897	4.717634	8.78022	6.464792	7.137867	8.059774	6.631472	7.740004	9.859982	11.07182	7.144465	7.338552	6.906412	8.517023	7.818285	6.539463	7.995688	9.702436	8.675156	7.675609	10.88034	7.829855	11.41012	6.715434	9.63754	7.050436	10.67026	8.072398	6.858542	8.248161	8.988018	10.09881	10.59956	10.94245	7.154136	7.120616	7.68635	8.575306	10.22819	6.468918	6.36976	8.945034	9.480876	8.804398	8.92863	10.90082	7.513503	7.861111	9.696479	7.244729	7.810393	9.461448	7.173097	7.50967	9.394115	8.5187	10.44063	9.636312	7.399373
43049.1277777778	31.9333333333333	7.96388	7.61021	5.641612	10.19799	7.698299	8.414411	9.238246	7.659409	9.356676	12.09485	13.91789	8.650978	9.011504	8.151818	10.20557	9.883847	7.819788	9.665481	12.04572	10.30231	9.266239	12.71035	10.01855	13.4801	7.980009	11.28027	8.445304	12.99797	9.846686	8.468999	10.07705	11.5166	11.4875	12.76874	11.77575	8.548004	8.44976	9.213153	10.11855	12.0146	7.440457	7.25535	10.54257	11.57951	11.09964	10.65303	13.49837	9.089474	9.232806	11.60673	9.039755	9.473243	11.65396	8.220619	9.093843	10.66603	9.880412	11.68375	11.47888	8.220567
43049.4611111111	39.9333333333333	8.885838	8.856308	6.320682	12.19014	8.994546	9.403044	10.95112	9.152454	10.9133	14.18388	16.61253	10.31152	10.54164	9.66543	11.43821	11.66116	9.534582	11.27538	13.75411	12.39892	10.5358	15.39686	11.34795	16.00599	9.854111	12.55789	10.54919	15.02962	11.97675	9.553835	11.97425	13.75221	14.24859	15.00817	14.29269	10.25859	10.10738	11.05035	12.57273	14.2412	8.701059	8.721091	12.73495	13.38535	12.70856	13.00724	15.85822	10.39082	11.01533	13.62311	10.74001	11.56141	13.25125	8.978883	10.82649	13.08649	11.75719	13.65626	13.07444	9.715751
43049.7972222222	48	10.32131	9.936586	7.325634	13.90664	10.29604	10.81456	13.12871	10.95541	13.81003	17.28149	19.96071	12.70643	12.39526	11.16433	14.25222	13.83427	11.38409	14.18518	16.70602	14.9619	12.82288	19.18651	13.84508	18.46796	11.9086	16.43923	11.9472	18.27541	14.13563	11.43169	14.89899	17.60076	17.28757	17.49779	15.85789	11.72528	11.37302	13.80778	15.68342	16.74569	10.13734	9.817983	15.0912	16.61467	15.12613	16.03983	18.58611	10.68278	13.56183	15.8745	12.60847	13.81728	16.14721	10.35667	12.43398	15.91805	14.03848	15.86333	15.59024	11.89947
43050.1277777778	55.9333333333333	12.68461	11.31459	8.237162	17.1221	11.5932	12.45137	15.10266	12.5745	16.32788	20.37892	24.58848	14.9523	14.46291	13.17921	17.06765	16.64259	13.38816	16.41851	19.22597	17.8962	16.10888	21.97316	16.7913	21.26595	13.78112	18.73863	14.68805	21.95033	17.4073	13.65897	17.73023	21.35451	20.27499	20.85721	18.57047	14.08605	14.02786	16.87167	18.95175	20.19688	12.07268	11.80285	18.32924	20.38746	19.41199	19.47348	22.05209	13.3138	15.85435	18.89257	15.11745	15.80006	18.91732	12.70334	15.32416	18.88511	16.51865	18.50602	18.58553	13.12327
43050.4611111111	63.9333333333333	14.19405	12.52478	9.650232	19.33795	13.90318	14.68679	17.41859	15.02074	19.24817	24.00787	27.44377	17.33418	17.49045	15.4159	20.50937	19.37791	15.87678	18.52279	22.39723	22.17387	18.83413	25.21139	19.15819	23.93079	16.91427	23.64695	18.49754	26.31947	20.87954	15.91498	22.02174	23.90147	24.34891	24.13518	21.98562	16.30826	15.69929	20.67587	23.27695	24.0754	14.34782	13.65685	22.22173	23.94602	22.80708	23.17857	25.36311	14.38569	18.33031	21.89014	17.66482	18.66182	21.39655	13.96047	18.13866	22.03077	20.26618	21.43179	21.50404	15.03954
43050.7972222222	72	16.37263	14.51737	11.19457	22.2172	15.50439	17.59301	20.24146	16.83958	21.88451	29.70359	31.1488	21.07261	20.58583	18.35017	24.09816	24.3685	17.90993	21.83536	25.98328	26.05377	23.86882	30.81909	20.8879	28.10222	20.85989	27.96731	21.84031	30.10166	24.17338	18.54781	25.77541	28.63656	31.04108	28.07655	26.09185	18.97303	20.53881	24.87014	28.93735	26.72879	16.36883	16.48484	25.34281	28.73517	27.72861	27.44805	28.18435	16.77175	23.07202	26.2808	21.68411	21.07793	26.31075	16.253	21.28236	26.66349	23.489	25.08131	23.87646	17.5331
43051.1277777778	79.9333333333333	18.51232	16.566	12.98984	25.66029	18.77844	18.89691	23.64919	20.27737	27.33009	34.15768	37.26104	25.27468	23.95341	20.94427	29.39627	26.92933	22.10124	26.80602	31.51081	32.24627	29.17592	36.89358	25.47248	32.01146	24.97456	35.55335	28.18105	35.28709	29.10331	22.78764	30.7173	35.02809	37.0479	35.32444	31.96212	24.57965	25.52404	31.20487	37.40578	31.42203	19.90263	18.91768	30.53656	35.35522	33.75698	35.38736	34.20039	18.71061	27.34237	33.51586	25.8085	25.2724	31.56514	18.72359	24.51145	31.0008	28.91615	29.21221	28.50511	20.12686
43051.4611111111	87.9333333333333	21.13193	18.37416	14.82665	29.04602	20.82078	21.81247	26.70124	22.60026	31.2553	38.90693	41.03044	27.65701	27.79763	24.64869	35.28449	33.41782	26.00949	28.28303	35.40405	36.43489	34.36139	41.71362	30.46153	35.71388	30.39632	42.66366	35.60819	40.81713	34.88894	26.26816	37.06282	42.46841	43.00938	38.70149	35.307	26.9763	30.35747	37.22329	45.5721	36.0027	22.684	21.20543	37.00971	43.62419	41.06866	39.86254	38.46125	21.57481	33.13622	40.15189	31.74047	27.74701	36.10121	21.38459	28.39589	36.9651	34.56554	32.97244	32.77174	23.84107
43051.7972222222	96	22.35767	21.16475	16.51145	32.999	25.44818	23.61013	30.92199	26.70107	36.67008	44.83948	48.47252	31.30488	33.57876	28.79395	40.80803	39.48236	29.05366	32.30543	41.70507	43.29554	40.87519	47.98853	32.94314	40.84039	37.12118	52.66752	43.42135	47.10299	38.27306	29.56007	45.42675	49.38943	53.41403	43.87379	41.07642	28.49393	35.8664	45.78102	55.56659	40.73956	26.371	24.99192	44.43062	50.88747	49.18495	43.81594	43.81224	24.71036	38.15793	48.46924	38.06744	33.26904	40.20745	23.67219	34.66473	44.78871	40.91886	36.60729	36.53551	26.90969
43052.1277777778	103.933333333333	25.57589	23.30995	18.37205	35.86524	25.82384	28.32889	35.05719	30.91796	42.71513	50.16508	53.89248	37.64214	37.74669	32.76988	45.59464	44.1152	35.52644	37.17801	49.85808	50.96324	48.09821	56.19862	38.30891	46.02603	44.94118	64.30418	52.74648	54.19659	45.70877	35.41209	53.502	60.09178	63.2599	53.39828	44.61695	32.05521	44.222	53.60351	67.72888	46.32753	30.90161	28.43093	52.78615	61.82574	59.30058	51.06661	51.05555	27.62502	45.22081	56.34962	47.49409	38.70008	45.99566	27.3607	41.69868	51.2133	48.374	43.61637	43.20704	29.71074
43052.4611111111	111.933333333333	27.64572	26.70332	20.31887	41.36009	28.47606	28.99986	38.28083	35.40335	47.06718	55.48208	58.33792	41.96761	44.29782	39.14667	54.5901	53.00973	40.59134	41.09933	58.21917	58.63264	58.06202	64.59743	42.48615	52.70148	54.66479	72.08238	63.00304	61.11483	49.7263	39.61043	62.60995	68.69793	70.99034	57.78296	50.21747	34.18615	52.80883	64.3393	78.0311	52.24336	36.24107	32.53236	63.41462	73.35816	68.85757	59.67981	55.63213	29.71587	54.79507	64.25235	57.31124	42.25511	52.242	30.85476	48.12491	57.39141	56.58586	49.19939	49.34153	33.16636
43052.7972222222	120	29.4079	27.12165	19.86418	45.55843	30.80717	31.56232	39.09049	34.33107	44.28503	57.04385	53.8536	39.05557	45.72773	37.11787	55.9239	49.04425	38.43375	36.41056	52.75294	53.47308	51.34558	61.99367	41.9204	49.97745	57.11438	69.58497	68.09834	57.41759	44.39764	41.609	67.95369	68.90157	68.7683	56.73298	44.64417	33.24234	56.6251	65.48297	79.98467	51.52267	35.44379	35.39206	64.88847	65.95444	72.59634	56.88211	51.80272	28.6185	58.30224	66.2011	55.82062	47.84082	55.41706	30.06365	52.31147	58.85632	62.49193	51.98269	51.16319	33.62624
43053.1277777778	127.933333333333	35.53648	32.34924	22.79186	49.92622	36.1233	35.93394	45.47847	41.62105	53.90492	64.07446	62.1475	45.70199	52.4729	47.82502	66.39005	57.22732	44.98036	42.40959	65.24591	67.95593	64.16451	66.58595	49.37039	55.40319	71.35326	84.61285	80.49399	66.46967	50.87968	51.29695	82.14217	83.35641	81.67731	65.22865	51.01598	38.8384	71.82818	80.96116	92.05832	58.94099	41.10623	41.40381	77.22398	82.66659	87.70309	66.27143	58.84935	35.2963	73.42045	79.5929	73.23357	55.68364	60.85641	33.10479	65.8848	72.4183	73.85548	60.25583	62.73553	43.54527
43053.4611111111	135.933333333333	41.18301	35.07452	25.17857	52.86423	38.46212	40.07932	50.12991	46.70414	58.68838	67.38944	64.91222	50.72585	59.98969	52.59902	72.89209	63.35923	51.26089	44.84918	73.92103	72.82456	68.26387	70.20684	52.79347	59.89579	81.86239	90.8918	87.66345	71.3017	56.8037	55.46878	88.77124	90.11663	89.38206	69.58361	52.15676	43.78325	79.19365	87.75006	96.16991	63.20908	46.38675	48.94258	83.71511	90.16885	92.34799	72.36732	62.40275	39.74972	80.85054	87.45036	82.9135	59.49966	67.47887	38.77913	73.45966	78.39638	82.14591	65.71229	72.59824	54.21238
43053.7972222222	144	42.49208	37.88751	28.43526	59.74416	42.8576	42.34761	55.129	52.4901	66.01221	71.8216	70.59588	56.0158	65.72942	60.98655	81.4327	68.74988	57.56182	50.20299	82.23501	80.5868	76.44216	75.91719	59.38543	66.42834	88.42479	95.77843	93.52002	75.38907	63.74229	61.54288	94.06624	95.0952	94.77532	75.1286	62.7524	49.67689	86.7095	93.7292	98.31985	68.71461	52.23395	55.75993	91.71049	95.09394	97.1169	78.95905	70.4072	40.43303	89.59836	92.5183	92.16226	64.52432	73.84356	46.45245	80.75073	86.74451	89.8439	71.9522	77.17838	55.80356
43054.4611111111	159.933333333333	44.51522	44.49117	31.98811	65.58106	48.7775	46.45296	63.38007	62.42612	76.1806	80.69367	75.69974	100	78.06122	71.77193	89.75189	75.98176	66.30906	55.45849	90.28709	90.10254	89.40558	83.99048	67.6919	72.27316	95.99821	98.89806	98.60141	84.10291	71.94807	67.71774	98.58024	98.43984	98.45156	82.03475	68.38778	52.53478	94.91306	98.45712	99.67328	73.46387	59.45635	58.96593	97.82929	98.7937	99.40443	84.31459	74.67519	41.66065	95.95105	97.76282	98.41853	70.19366	85.4956	45.36652	89.20075	94.38177	95.37509	81.19817	83.78177	62.80802
