Label: 180313 G584 PRMT5 DR 																																																													
Metric: Phase Object Confluence (Percent)																																																													
Cell Type: G584																																																													
Passage: 23																																																													
Notes: 																																																													
Analysis Job: 180327 584 DR PRMT5 																																																													

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
43172.6840277778	0	5.045141	5.820675	8.163889	6.945198	7.66428	8.445685	6.28844	6.066343	8.618945	8.159348	9.148448	8.23592	6.253454	6.340956	7.367771	7.646458	6.542346	8.026497	7.578589	7.595981	6.977612	8.647058	8.363553	8.036409	7.740177	8.18993	7.019869	7.514729	7.363764	7.830183	9.179117	6.972104	8.542099	8.093897	7.987504	8.112599	7.480174	9.012695	7.005588	7.270407	8.310072	8.496594	7.32534	7.289767	7.815246	7.67174	8.09685	8.289348	8.808869	9.685686	9.101147	8.347252	7.121307	10.31813	7.781312	9.784101	10.45307	9.05257	9.457648	8.897165
43173.0166666667	7.98333333333333	5.437562	6.394576	9.403684	8.321176	8.632155	9.500683	7.212712	7.519219	10.57262	10.03316	11.16914	9.109938	7.245109	8.225523	9.40952	9.786865	8.172903	9.685238	9.052362	9.078506	8.743126	11.16961	10.87431	9.495209	9.350461	9.553044	8.569643	9.201481	8.669249	9.160553	10.24795	8.189724	10.7856	10.02994	10.1395	10.10482	8.502984	11.02326	8.770445	9.058718	10.76773	10.43015	8.514156	8.68284	9.588634	9.678329	9.812595	10.16727	10.46471	11.1214	11.09126	10.15927	8.336183	11.47854	9.086071	10.95342	11.24371	10.25733	10.97794	10.05985
43173.35	15.9833333333333	6.468314	7.402654	10.216	9.196367	9.564646	10.62783	8.252964	8.248058	11.80599	10.86507	11.99498	10.25396	8.08965	9.283369	10.54665	10.88872	8.641842	10.57941	9.913499	10.21289	9.139052	12.67179	11.77553	10.35344	10.54941	10.53707	9.587511	10.33996	10.02597	10.40884	11.25516	9.147549	11.73978	11.70243	10.97459	11.4637	9.720276	12.11588	9.476921	10.40679	11.93411	11.96936	9.449497	9.740705	10.58177	10.57198	10.75364	11.43081	11.98682	12.36914	12.31187	11.75842	9.053883	12.37473	10.06714	11.7799	13.2	11.65242	12.15443	11.31048
43173.6840277778	24	7.103071	8.531115	11.87137	10.01566	11.24185	12.09893	9.472983	9.184937	12.37848	12.41044	13.28434	11.14965	10.19422	9.355088	11.57726	12.1752	11.01167	11.55658	11.023	11.6418	10.48327	13.80388	13.24272	11.73198	11.06621	11.56461	10.38926	11.03994	11.86491	11.79848	13.18788	10.09154	14.19309	13.27312	12.66564	12.66029	11.18118	13.57311	10.82166	12.22857	13.04722	12.89995	10.07786	10.90882	11.65442	12.059	12.68644	12.56293	13.67935	13.92765	13.43437	13.33376	10.39446	14.21514	12.02906	13.2831	14.30796	13.79507	13.46706	12.31824
43174.0166666667	31.9833333333333	7.431597	9.634068	13.2627	10.71456	12.1105	13.45845	10.30147	9.779387	13.51151	13.52099	14.03616	12.2087	10.34517	10.51494	12.49022	13.10773	11.73433	12.80005	11.86809	12.50187	10.74006	14.80061	14.16016	12.32938	11.82088	12.12122	11.10276	12.12189	12.79796	12.57983	14.44114	11.14487	14.72261	14.29193	13.41241	13.44479	11.72331	13.79794	11.68243	12.87432	13.97301	14.00061	10.77286	11.80074	11.96998	12.64421	13.371	12.85089	14.6178	14.755	13.86677	14.22718	11.01657	14.70335	12.31857	14.38458	15.37867	14.36099	14.08554	13.26631
43174.35	39.9833333333333	8.728481	10.49135	14.89974	12.18482	14.21642	14.51179	11.65342	11.43029	15.27663	14.83537	15.84148	13.52968	11.89772	11.3509	13.85575	15.19393	13.47143	14.21695	13.27526	13.98309	12.07373	16.50035	16.00829	13.93588	12.81392	13.94011	11.82492	13.16296	14.36937	13.85209	15.71331	12.28445	16.26487	15.83546	15.42024	15.38463	13.9718	15.70668	12.97669	14.54106	15.30295	15.06493	11.87246	12.59657	13.62891	14.35374	14.63766	14.39192	16.35168	16.12683	15.87908	15.51286	12.22651	16.65069	13.35126	15.77108	16.55001	15.37629	15.72255	14.64821
43174.6840277778	48	9.487317	11.95461	17.27882	14.1949	16.05066	16.72866	12.95493	12.9478	17.55752	16.76762	18.75615	15.90612	13.2493	13.09464	15.9744	17.29111	14.96831	16.21783	14.99953	16.38898	13.83261	18.87021	18.31309	16.12053	15.20897	16.10242	13.50267	14.59877	15.97879	15.81164	17.75256	13.31644	18.54362	17.89356	18.80227	18.33444	15.49362	17.8063	15.51268	16.62118	17.36599	17.78526	14.42301	14.41544	16.19729	16.76536	17.79927	17.96999	17.4414	19.26653	18.93207	18.36126	13.32064	19.60609	15.6432	19.1175	19.22769	17.97415	18.26365	17.22692
43175.0166666667	55.9833333333333	10.6251	12.70774	18.30156	15.45853	16.7221	18.059	14.05685	14.31287	19.50942	17.81749	19.82858	16.11124	13.89665	14.05468	17.67712	17.98331	15.53926	17.19835	16.53865	17.23516	14.75367	20.25036	19.82323	17.45151	15.65446	17.53968	14.52096	15.88099	16.29117	16.26628	19.38968	14.17729	19.69563	18.67365	19.01924	19.88614	16.90921	18.96692	15.53729	16.97132	19.32121	19.46742	15.5233	15.70064	17.35637	18.20936	18.28603	19.04107	18.76889	20.38325	18.81502	18.00111	14.3961	20.51738	16.35938	19.36524	20.14497	18.90618	19.52488	18.40852
43175.35	63.9833333333333	11.5391	14.40196	20.25363	16.91309	19.1213	19.62766	15.12404	16.04436	20.68449	19.2084	21.79342	18.01123	15.36496	15.3248	19.34241	19.83399	17.68566	18.73549	18.19929	18.77719	15.88246	22.14389	21.7363	19.33642	16.98205	19.38543	15.39441	17.08478	17.54181	17.55044	20.36037	15.60942	22.03681	20.78201	20.669	21.73515	17.97877	21.07998	17.50862	18.85254	20.85295	21.06918	16.80976	16.85366	18.7033	19.72209	20.14708	21.44448	21.00281	21.00777	20.97984	21.0261	16.37511	21.93682	17.4646	21.79129	22.40595	21.06514	21.34349	20.50097
43175.6673611111	71.6	13.15491	15.86229	22.05772	17.77705	21.15991	20.65458	16.65853	17.41559	22.76611	22.03588	24.06628	19.49246	16.89396	16.62441	20.64916	21.10525	19.74692	21.19584	19.9507	21.60869	17.45475	23.69196	22.70211	21.61683	18.31629	21.24237	16.1048	18.53705	19.79571	18.86857	21.7141	17.94117	24.60906	22.40189	23.37568	23.7802	20.00159	23.34423	20.26332	21.04071	22.7982	22.71027	18.01351	19.14831	20.52188	21.16688	23.25757	23.13016	22.37879	23.60789	22.93148	21.8506	18.0643	24.17145	19.86573	23.44789	24.58411	22.37946	23.56177	21.74422
