Label: 180216 594 DR PRMT5i																																																													
Metric: Phase Object Confluence (Percent)																																																													
Cell Type: 594																																																													
Passage: 12																																																													
Notes: 																																																													
Analysis Job: 180226 G594 DR PRMT5																																																													

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
43147.6277777778	0	16.12078	17.70636	19.37759	18.55213	17.77798	16.87517	19.0973	18.6373	19.45495	12.82055	18.75561	17.56657	17.58854	19.40429	17.61679	18.7635	20.46398	17.48321	18.59916	20.19155	18.80079	20.81924	18.23738	18.38215	17.7252	16.77373	18.44067	18.1064	17.93114	20.2065	15.46414	16.51629	17.02552	19.83473	14.33188	22.00611	14.89619	18.40857	17.38533	22.80557	16.23311	21.90487	17.0786	15.95976	18.54847	19.19379	18.9948	18.04375	18.53826	17.79941	20.71051	20.74733	19.8336	17.06434	18.43619	18.89803	19.1867	19.36973	18.645	18.46188
43147.7944444444	4	17.22245	19.012	20.72176	19.84164	18.29429	17.815	19.64557	19.69271	21.09135	13.25781	19.49277	18.64057	18.73003	20.5449	18.89461	19.4371	21.64045	18.26438	19.48158	20.97525	20.26863	21.98528	19.27114	19.77395	18.38407	18.31395	19.87154	19.37437	18.49588	21.54908	16.00652	16.9176	18.64039	21.39692	15.94335	22.92374	15.69786	19.06146	18.03611	23.47161	17.07233	22.10228	18.07211	16.96169	19.02525	20.55219	19.69935	18.78466	19.23472	18.65312	21.49066	20.78761	21.31876	18.07528	18.72396	19.37761	20.21622	20.45003	20.32073	19.51365
43147.9611111111	8	17.88021	19.98302	21.94711	20.75882	19.33642	18.71377	20.77472	20.69307	23.09557	14.37141	21.11226	19.43919	19.70501	21.50368	19.96223	20.78251	23.48255	19.29445	19.70288	22.88551	21.1799	22.61473	20.62203	20.68931	19.91476	18.7792	20.89296	20.82774	20.66788	21.3581	17.25224	18.12816	19.56408	22.98472	16.93727	23.46718	16.85956	20.63617	19.00692	24.19229	17.87304	22.30479	18.90887	18.29892	19.99529	21.62415	21.35874	19.76153	20.39883	19.54028	23.28776	21.83517	22.15802	18.94384	20.27896	20.64508	21.38796	21.09164	21.06714	20.78429
43148.1277777778	12	19.09517	21.93617	23.06622	21.80273	21.44935	19.85506	22.07591	21.87833	24.48184	15.11658	22.98605	21.18612	21.1297	22.74101	20.20065	21.29975	24.07231	20.73894	21.08045	23.87487	22.31451	24.12487	21.95331	22.34765	21.17125	20.38936	22.56353	22.08373	21.35537	24.33393	17.44315	18.41169	20.26523	23.9708	17.8239	24.58304	18.09702	21.52794	20.08631	25.0646	18.47976	24.40242	19.98187	18.71867	21.2339	22.69148	22.36428	21.1994	21.19793	20.55803	24.51992	23.17487	22.5611	20.32792	21.13057	21.90301	22.82507	21.64318	21.96103	21.7339
43148.2944444444	16	20.48046	23.01563	24.27319	23.5934	21.72239	21.5773	23.04971	23.33836	25.91628	16.42386	24.20662	21.91168	22.12409	24.21975	21.95618	22.3726	25.97112	21.8764	22.22255	25.08448	23.55861	25.9308	23.02173	23.37026	22.0122	21.47165	23.7166	22.35021	22.35048	25.12722	18.95676	20.05212	21.24418	24.80898	18.7709	25.51961	19.42862	23.06318	21.32085	26.14863	19.18248	25.58978	20.45754	19.58236	23.28817	23.76443	23.60722	22.3444	22.53291	22.08355	26.39957	24.40872	24.66955	21.45583	21.76132	23.0128	23.78692	23.48537	22.65186	22.46195
43148.4611111111	20	21.41818	24.17846	26.41271	24.60013	23.75889	22.80675	24.75	25.03144	27.70194	17.3467	25.53181	24.48184	24.44906	26.2768	22.46159	24.08445	26.91273	22.36015	24.02003	26.87695	24.77781	28.22312	24.93286	24.65146	23.82978	22.10604	24.97059	23.35801	24.1463	26.26208	19.92229	21.44576	23.15973	26.92893	20.15635	27.54442	20.0545	24.73789	22.17337	27.66716	20.86174	26.94248	22.00963	20.88234	24.27361	25.30568	25.03481	23.54733	23.56341	22.99754	27.95303	26.69767	26.02346	22.84289	22.91716	24.32437	24.81446	24.25764	23.97149	23.73625
43148.6277777778	24	23.32449	25.58088	27.99507	25.6811	25.69325	23.94707	26.16857	26.13892	28.87605	18.52008	27.10521	25.03426	25.19668	27.99289	23.98894	25.80261	28.74543	24.05141	24.57257	28.33009	26.58536	29.24605	26.21619	26.71141	24.66776	23.56061	26.94539	24.19027	25.72826	28.21003	21.53913	22.28859	24.24823	27.87491	21.21505	28.72094	21.17224	25.88308	23.84208	29.65413	22.25554	28.10652	22.63696	22.17261	25.51693	26.62291	26.23394	25.27955	24.77093	25.02419	29.09982	28.48953	27.05468	24.30625	25.18631	25.56746	26.92566	25.41259	25.62736	25.12299
43148.7944444444	28	23.41056	26.54664	29.32234	26.63905	26.25592	25.88436	26.91729	27.20283	30.84872	19.35623	28.2483	26.74892	26.88645	28.08897	25.16737	26.98075	29.87754	26.2825	26.565	30.37481	28.3367	30.86141	27.79856	27.7618	25.48172	26.19002	27.95802	25.9051	26.33923	29.80463	22.64623	23.83771	25.26456	29.87649	22.9324	29.61803	22.5162	26.67478	24.75136	30.15153	22.63656	28.73556	25.05688	23.12207	26.0554	27.70581	28.18648	27.72954	25.87355	26.41687	31.51883	29.19662	29.22845	26.34914	26.60969	26.99944	27.69719	27.54659	26.71419	26.04011
43148.9611111111	32	25.0358	28.6336	30.94068	28.25175	28.65264	27.70595	28.45555	29.21189	32.75244	20.63025	29.64446	28.27562	27.77109	30.04757	26.72935	28.22124	31.42488	27.49297	28.46777	32.72341	29.94643	33.58299	29.52608	30.70069	27.8041	27.52022	29.50605	27.09138	27.26215	31.93292	24.30129	25.19534	27.40018	31.56552	23.86323	31.87673	24.68216	28.91198	26.69011	33.44375	24.12441	31.66558	26.50467	24.60124	28.25422	29.70201	29.81517	29.06445	28.17869	28.32896	32.9082	31.07651	30.9749	28.05109	28.50863	28.84127	29.88684	30.0025	29.10232	28.33179
43149.1277777778	36	28.35205	29.74518	32.84435	29.939	29.92097	28.39961	30.18237	31.3295	34.38892	21.90085	31.02333	29.50685	29.17718	32.82053	28.05592	30.27143	32.85631	29.10747	30.193	34.78509	32.44021	35.35995	31.44236	32.09295	28.90874	28.70031	32.07328	28.9116	29.43413	33.68307	25.44861	26.67539	29.07174	33.80236	25.86581	33.6464	25.45903	30.32115	27.6902	34.73756	25.03882	33.18929	27.31297	25.57704	30.83711	31.4541	31.44678	30.02288	29.54669	29.84467	35.23812	33.0211	32.54039	29.82204	30.31228	30.50291	31.67829	31.86847	31.42347	29.81797
