Label: 171206 semi log dose response PRMT5i day 																																																													
Metric: Phase Object Confluence (Percent)																																																													
Cell Type: 637																																																													
Passage: 12																																																													
Notes: 																																																													
Analysis Job: 637 DR PRMT5i rep 1																																																													

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
43075.79375	0	12.02764	9.471464	9.388866	9.180239	10.3098	8.035666	9.341913	8.553462	7.963689	9.551125	8.407797	10.69214	11.56813	8.23395	7.782555	8.803412	6.621196	9.522994	9.423232	7.417593	8.282009	7.438245	7.545745	6.328297	7.391982	6.435331	7.381569	7.48912	6.33377	7.43474	8.003874	7.664124	7.971495	6.524093	10.63232	5.951781	8.909806	9.037287	7.602612	5.929073	6.777067	6.523472	8.44812	15.21056	7.976054	7.406038	7.20154	6.522867	9.019966	9.540298	8.915299	7.471057	6.078156	7.778323	10.74112	10.65367	11.23112	7.719645	8.715496	8.186789
43076.1277777778	8.01666666666667	12.81863	10.0746	10.04302	9.885107	10.3508	8.815104	9.905054	9.018964	8.427605	10.24394	8.673549	11.40884	12.03246	8.330881	8.457066	9.439291	7.321818	10.14649	9.939575	7.537697	8.394415	8.054575	7.774904	6.690394	7.657079	6.843846	7.6615	7.917754	6.994864	8.020159	8.622572	8.162991	8.548884	7.007022	11.91625	6.311045	9.299516	9.438343	8.324526	6.174119	6.918224	6.871305	9.160329	17.55144	8.34765	7.643574	7.841184	7.09252	9.571832	10.06445	9.255652	7.596223	6.394524	8.102065	11.14594	10.78652	11.92425	7.962982	9.237521	8.973253
43076.4604166667	16	13.80614	10.4106	10.27295	10.37764	11.08455	9.681626	10.142	9.552819	9.148636	11.04771	9.41066	11.50974	13.00396	8.746753	8.324629	9.84976	7.431717	10.96814	9.882845	8.261631	8.826052	8.483556	8.022301	7.399303	7.572563	7.061142	8.346663	8.238612	7.664176	8.121563	8.977726	8.507456	8.635817	7.413395	12.69553	6.818202	9.613484	9.578721	8.376367	6.614549	7.023272	7.478983	9.60371	19.26415	8.157585	8.460691	7.946629	7.495976	9.470549	10.27698	9.938487	8.013615	6.740458	8.188498	11.40623	11.29448	12.53704	8.502948	9.829779	9.515569
43076.79375	24	14.50902	10.85597	10.78016	11.37311	12.28289	10.12468	10.08546	9.859481	9.51961	11.23943	9.327233	12.15312	13.26543	9.072377	8.846948	9.846081	7.629361	11.75759	10.23918	8.530372	9.144217	8.601504	8.255934	7.758793	7.821255	7.267749	8.921169	8.27391	7.919723	8.93811	9.376381	8.599017	8.895544	7.833067	13.45289	7.022356	9.980675	9.773566	8.517317	7.034945	7.745409	7.627392	9.770908	21.54438	8.693875	8.80792	8.622745	8.078631	10.10565	10.80779	9.926487	8.124291	7.049071	8.57636	11.87255	11.87711	12.90912	8.819284	10.067	9.560366
43077.1277777778	32.0166666666667	14.7114	10.74904	11.16566	11.60559	13.02817	10.52736	11.04978	10.35223	9.489753	12.11542	10.03115	12.85106	13.76571	9.275805	9.487734	10.33352	8.074609	11.94347	10.97376	8.582473	9.453331	8.913089	8.879552	7.885617	8.418503	7.589315	9.511908	8.469603	8.167533	9.003612	9.211341	9.16777	8.788734	7.989696	14.0191	7.48418	10.49514	9.801215	8.562337	7.51302	7.659756	8.032404	9.904829	23.08157	8.953913	8.937367	8.947746	8.185509	10.42851	11.50674	9.762275	8.598965	7.294912	8.871866	11.79209	12.36306	13.37093	9.186319	10.29841	10.07215
43077.4604166667	40	15.56257	11.50449	11.85973	12.61471	13.34359	11.21033	11.30243	10.50294	10.44443	12.80007	10.6113	13.15434	13.9675	9.217782	9.360286	11.12754	8.255104	12.50692	11.4898	8.896458	9.919216	9.246552	8.932136	8.594784	8.721834	8.022509	9.580415	9.223291	8.268229	9.307217	9.751999	9.710432	9.122025	8.62031	14.73155	7.426865	10.7281	9.746438	8.757322	7.756946	7.368929	8.474645	9.942649	24.85938	9.4147	9.501962	9.044937	8.566446	10.82501	11.84531	10.56539	8.586428	7.409302	9.189288	12.2176	12.5073	13.77323	9.365051	10.97677	10.67667
43077.79375	48	15.7683	12.05703	12.1809	13.50497	14.05476	11.928	12.22281	10.78892	11.0579	13.40489	11.489	13.33014	14.65265	9.582331	10.1644	10.78588	8.967917	12.71065	11.62708	9.49666	10.52498	9.62773	9.416774	8.902364	9.020607	8.028536	9.73183	9.935827	8.805105	9.484261	10.27378	10.04326	9.765606	9.208941	15.16048	8.231739	10.85806	10.4249	9.750497	8.41379	8.134169	8.731228	10.61065	27.02244	9.830071	9.386	9.822699	9.098815	10.99836	12.36791	10.94598	9.084863	7.770726	9.323331	12.86842	13.08782	14.27004	9.956722	11.53136	10.69739
43078.1277777778	56.0166666666667	16.85576	12.69252	12.07718	13.54488	14.57157	12.37224	13.01137	11.49878	11.26378	13.56546	11.29293	14.24803	15.40264	10.0698	10.39885	11.36802	9.068319	13.25894	12.03536	9.962682	10.84388	9.989309	9.371873	9.209321	9.337681	8.902226	10.28427	9.939127	9.186353	9.921978	10.82009	10.54444	10.05118	9.529436	15.36957	8.305926	11.44756	10.85867	9.401042	8.863716	8.105951	8.900861	11.29032	28.49369	10.53912	9.721174	9.794013	9.622135	11.5983	12.83193	11.00077	9.379023	8.09445	10.04854	13.26156	13.64797	15.22771	10.01573	11.75755	11.49175
43078.4604166667	64	17.44961	12.65267	12.63744	14.27302	14.57601	12.09323	13.54804	11.72194	11.84566	14.05013	11.62795	14.81434	16.0727	10.88381	10.61673	11.83174	9.442298	13.19789	12.8527	10.35165	10.77337	10.56192	9.505327	10.03797	9.816481	9.267949	10.0491	10.09831	9.504949	9.989569	10.84939	10.47466	10.41879	9.800819	16.34247	8.869173	11.8746	11.1458	9.687274	8.542236	8.680751	9.472344	11.65631	30.95053	10.91633	10.05744	10.55591	9.633138	11.96981	13.66151	11.76992	9.311898	8.711766	10.12624	14.53778	13.87256	15.45991	10.25518	12.7476	11.77771
43078.79375	72	17.89366	13.12982	13.29244	15.10796	15.13049	12.60777	13.52125	11.85132	12.67837	14.74414	12.80095	15.16777	16.31281	10.87896	11.42141	12.27032	9.336698	13.86076	12.88427	10.8052	11.30637	10.94586	9.924448	9.991519	9.798332	9.469598	10.72421	10.6833	9.878409	10.40042	11.61672	11.42165	10.994	9.872554	16.57068	9.216539	12.28325	11.83309	10.36933	8.647542	9.170931	9.388159	12.36466	34.49179	11.39979	10.40161	10.70257	9.743416	13.04953	14.7328	11.92043	9.439137	8.966155	10.65368	15.36018	14.93198	15.97496	11.05255	12.9598	12.59021
