Label: 171201 semi log dose response PRMT5i day 																																																													
Metric: Phase Object Confluence (Percent)																																																													
Cell Type: 702																																																													
Passage: 15																																																													
Notes: 																																																													
Analysis Job: 702 DR PRMT5																																																													

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
43071.1277777778	0	6.932972	5.036523	7.292046	7.550718	7.005553	10.09983	7.103778	6.834469	7.641588	7.88256	6.284157	6.369812	6.177919	5.901563	7.727225	7.772246	5.318941	6.819705	7.809805	6.197606	6.393539	7.66649	7.545918	6.638311	7.248286	7.534969	7.391757	7.711165	6.459629	5.29328	7.785283	6.794888	6.836386	7.521948	7.648789	7.412169	6.490401	5.801229	5.330995	5.807706	5.487849	6.41435	6.774771	6.062665	7.553878	7.495734	6.272639	7.126713	7.024463	7.236648	6.817804	7.783885	5.768367	6.804231	6.021513	6.49218	5.805633	5.412349	5.673008	6.597763
43071.4611111111	8	7.635993	5.65845	8.555309	8.444666	8.010817	11.2912	8.273391	7.992546	8.231912	8.838831	7.154826	6.630073	6.669187	6.318471	8.162474	8.550698	6.085788	7.295397	8.46228	6.774839	6.79874	8.384776	8.650771	7.429335	7.893577	8.222448	8.441488	8.674223	6.837094	5.935687	8.26417	6.940242	7.267093	8.885613	8.366264	7.682636	7.181852	6.223076	5.773202	6.848094	6.200195	6.840411	7.331696	6.878729	7.963931	8.391426	6.445364	7.643678	7.436381	7.869608	6.976438	8.797886	6.006817	7.789635	7.036241	7.025603	6.620713	5.754051	6.350126	7.275278
43071.79375	15.9833333333333	8.958591	6.073009	9.735749	8.923674	8.333367	12.62715	9.758596	9.16	9.54724	9.803771	7.985535	7.217772	7.298332	6.982741	8.504658	9.758734	6.749074	8.073468	8.856878	7.655231	7.349276	9.013852	9.398762	7.991372	7.91658	8.938195	9.178875	9.805498	7.442822	6.817632	9.382563	8.016205	7.844136	9.424043	9.347696	8.40752	7.857278	6.921884	5.975215	6.917171	6.729957	7.39402	8.307809	7.720508	9.114013	9.547621	7.045116	8.269903	7.809391	8.550818	8.101876	9.803787	6.665803	7.827212	7.527544	7.49727	7.065511	6.438542	6.872927	7.740608
43072.1277777778	24	9.544304	6.709218	11.68507	9.880705	9.332034	13.86182	10.66736	10.20471	10.34559	11.32957	8.312455	8.076853	7.944952	7.674502	9.472363	10.49876	7.67376	8.750448	9.624433	7.738554	8.375797	9.758561	10.28173	8.816417	9.279864	9.812336	9.81358	9.93574	8.381323	7.106819	9.926573	9.06623	8.904471	10.46328	10.46284	8.488201	8.568537	7.657164	6.344444	8.115898	7.312182	7.946369	9.125946	8.65022	10.15364	10.7078	7.584186	8.558659	9.603383	9.528832	8.574512	10.70091	7.557108	8.745181	8.253153	9.080598	7.59175	7.086252	7.487306	8.581419
43072.4611111111	32	9.860603	7.473353	13.23174	11.04852	10.76493	15.16651	12.20791	10.95575	11.37263	12.53692	9.50165	8.669129	8.307222	8.264015	10.51741	11.59267	8.317152	9.446269	10.56072	8.163474	8.549299	11.25399	10.86611	9.515881	9.867702	10.5778	11.12561	11.25635	9.463002	8.368095	10.80565	9.696962	9.130108	11.25727	11.26583	9.335782	9.17226	8.332797	6.705055	8.246124	7.736585	8.408125	10.00211	10.0391	11.18016	12.02495	8.082828	8.739672	10.02459	10.39933	9.135167	11.31262	7.755442	8.784175	9.410919	9.615436	8.66469	7.752714	8.499098	9.37878
43072.79375	39.9833333333333	10.49856	7.900847	14.18293	11.39787	11.48113	16.56671	13.30139	12.55118	12.59028	13.48777	9.598927	9.33844	8.336735	8.857223	11.82145	12.04543	9.339011	10.22726	11.51142	8.971457	8.979919	11.75664	11.09541	10.57844	11.30944	11.49767	12.01115	11.80235	10.14528	8.781912	12.27108	10.30853	10.38974	12.78912	12.2873	9.725974	10.25974	9.343761	7.301735	8.768858	8.519406	8.806763	10.84803	10.63068	12.01053	12.26595	9.033834	9.513134	10.7135	11.59279	9.617785	12.77242	8.419418	9.512202	10.53565	10.47897	9.121059	8.943377	8.884748	10.07578
43073.1277777778	48	11.68649	8.699211	15.74234	12.46809	12.72947	18.25118	13.65067	13.71486	13.65056	14.33088	10.36655	10.03604	9.437738	9.488301	12.8838	12.90948	10.46759	10.95705	12.48297	9.36184	10.0077	12.12915	12.75164	10.86238	12.11699	12.03248	13.00491	12.22093	11.06591	9.185988	13.32845	11.45709	10.72961	13.86482	13.65352	10.52473	11.14044	10.27299	7.650809	9.662787	9.088057	9.497212	12.42706	11.68799	12.74603	13.89808	9.86796	10.44027	11.9262	13.02442	11.34918	14.30629	9.063932	10.4219	11.57473	10.99117	10.02442	10.0493	9.558188	10.99988
43073.4611111111	56	11.48867	8.46418	16.74833	13.47995	12.97538	19.13957	15.48507	15.36061	15.21681	15.48332	10.70485	10.48852	10.04305	9.721017	13.52961	13.44751	10.58556	12.20817	13.30923	10.51037	10.45445	13.81766	13.23861	11.84454	12.93922	13.02011	14.15026	14.02869	11.5994	9.665342	14.42306	12.75109	12.04247	14.89447	14.40353	11.46032	11.62686	11.71858	8.26032	9.931822	9.344226	9.903033	13.41933	12.40578	13.834	15.34676	10.40411	10.88806	12.86769	13.54438	11.66389	15.28651	9.610461	10.88847	12.89582	12.46607	11.08815	10.72095	9.91103	11.68818
43073.79375	63.9833333333333	12.27041	9.257139	17.81103	13.84954	14.78227	19.03421	16.09387	16.17496	15.89688	16.29626	11.44169	11.17469	11.01509	10.7149	14.17285	14.19563	11.23843	13.26909	14.10615	11.2654	11.23565	14.53173	14.25735	12.36646	13.7176	13.85083	14.85644	14.52614	13.04763	10.29827	15.60922	12.98438	12.53037	15.47697	14.92503	11.3856	12.42113	12.11419	8.532582	10.73165	10.31438	10.85526	14.79521	13.02047	14.2871	16.83837	11.13663	10.99552	14.62666	15.71813	12.9827	16.31322	10.67503	11.34904	14.28256	12.78421	12.68034	11.68202	10.94983	12.73246
43074.1277777778	72	12.2506	9.436425	18.51738	14.46411	14.91535	20.63052	16.67948	17.56573	17.40091	16.99435	12.3242	11.31253	10.99257	11.3403	15.1939	15.36885	11.81687	13.80153	15.28459	11.8534	11.70773	14.14254	14.93319	13.71836	15.11327	14.81992	15.48042	15.55758	13.27622	11.08416	17.59866	14.33751	13.54524	17.00609	15.77997	12.64995	13.54022	13.10737	8.613729	11.39114	10.7143	10.636	16.12166	13.68476	14.97377	17.59249	11.11487	11.41998	15.31759	16.61579	14.01254	17.55371	11.5786	11.95378	14.86052	13.37441	12.88351	12.12492	11.7872	13.68358
