Label: 171031 semi log dose response PRMT5i day 4 onwards																																																													
Metric: Phase Object Confluence (Percent)																																																													
Cell Type: 719																																																													
Passage: 11																																																													
Notes: I actually put these on on the 27/10/2017 after the 7:08pm scan- but i didnt change the plate labels!! see the Tet1 het plate for those timepoints 																																																													
they started scanning on  this label at 7:08pm on 31/10/2017 																																																													

Analysis Job: 719 DR PRMT5																																																													
Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
43039.7972222222	0	4.626057	7.194424	10.80924	14.67277	12.11352	11.58072	11.35178	10.4923	12.91608	12.58888	13.60169	2.470833	12.01464	11.64498	11.57381	12.50451	13.12426	11.95692	13.7934	13.72751	13.04218	12.24784	12.39143	11.197	8.309656	11.45597	11.87476	9.617043	14.29302	11.55625	8.575547	9.432713	11.69994	13.34587	11.69312	9.416567	8.596825	12.36354	10.87939	11.78912	10.47731	11.09195	11.80858	10.03212	10.41646	10.82447	10.52557	11.04633	11.01049	11.20577	13.55277	12.37309	11.50819	9.460291	14.02325	12.4956	13.1048	11.42623	12.28861	11.89472
43040.1277777778	7.93333333333333	4.566962	7.155828	11.57074	15.45171	12.92742	11.51194	11.6988	10.70623	13.38293	12.82084	13.89713	2.700735	12.8541	12.15004	11.87099	13.11179	13.54268	12.36172	14.50923	13.80201	13.15472	12.69921	12.90959	11.84324	8.009089	11.88728	12.5441	10.02589	14.39209	11.28816	8.675138	9.69767	12.09335	13.74376	11.90769	9.623121	8.87981	12.75707	11.12135	12.42704	10.36705	10.99514	12.201	10.31949	10.81667	10.96796	10.13824	11.44279	10.80475	11.34301	14.25462	12.85963	11.50413	9.391163	14.19242	12.7036	13.44962	11.99626	12.50395	12.17879
43040.4611111111	15.9333333333333	4.390248	7.23739	12.1537	15.62645	13.2468	11.78746	11.89166	11.39713	13.76853	13.20841	14.22357	3.290454	12.71743	12.71847	12.26008	13.65481	13.8839	12.65302	14.47701	14.06519	13.56235	13.65407	13.18211	12.06631	8.630947	12.2869	12.70548	10.64736	15.33213	11.34071	8.719657	10.03008	12.4115	14.29478	11.78195	9.733504	9.303921	13.20837	12.07914	12.8622	11.1263	11.57238	12.4817	10.45853	11.36969	11.67059	10.37778	11.87022	11.17806	11.76467	15.45279	13.62181	12.51027	10.19745	14.5768	12.78111	13.71598	13.05359	12.97636	12.60807
43040.7972222222	24	3.813377	6.331026	12.19969	16.03704	13.56871	11.23164	10.76811	9.932737	12.855	12.71854	13.85071	4.696428	11.17695	10.2156	10.24746	13.73998	14.27513	13.4811	15.47427	13.74292	13.74561	12.91789	11.4909	10.96611	8.549351	11.3073	12.66034	10.64928	16.26936	10.44373	7.285708	8.331536	12.11393	14.15853	12.09511	8.46083	8.296446	11.90753	11.67837	13.03313	11.25	10.62773	11.29283	9.481843	10.52375	11.8282	14.43955	10.76674	9.650663	10.85138	15.85409	13.22904	12.65047	8.987881	13.91497	11.82188	12.99274	11.72593	12.29187	12.20478
43041.1277777778	31.9333333333333	4.1743	6.894289	13.81719	18.18496	15.43925	11.53028	12.01039	11.50596	14.03642	13.44808	15.25653	5.348315	12.37131	11.6581	11.64729	14.97848	15.1444	14.42836	16.60137	15.70026	15.68494	14.26247	12.40447	12.24922	9.547032	12.86185	13.96391	11.24601	16.79311	10.68641	8.349963	9.729549	13.00099	15.25416	13.15296	10.07269	9.149742	12.97232	13.17679	14.06469	12.76449	11.52432	12.72363	10.37669	11.27557	13.13631	15.79983	11.85593	10.96444	12.18292	17.16793	14.66412	13.65554	10.38872	15.30359	13.189	14.94163	13.9088	14.40159	13.5226
43041.4611111111	39.9333333333333	4.486403	7.790308	14.99544	19.06276	15.88488	11.50043	11.80299	11.07834	13.56237	12.81607	14.2561	5.926361	12.60586	11.3715	10.78232	14.22371	14.41135	13.68099	15.88191	14.87789	14.99167	13.642	11.89023	11.56288	9.233411	12.23245	13.17848	9.809955	16.08508	9.630615	8.215955	9.612395	12.24739	14.24664	12.47715	9.680143	9.340048	12.57503	12.37492	13.11723	12.00666	11.31688	12.76798	10.19153	10.97131	12.68317	15.39734	11.38865	11.18476	12.22615	16.43911	13.80289	12.65274	10.49567	15.67579	12.67245	13.58192	12.55476	13.82572	13.66559
43041.7972222222	48	4.653479	8.289797	15.14352	19.56677	16.67697	10.74585	10.97901	11.32635	13.50298	12.52513	13.38932	6.67834	11.83286	11.52694	10.75792	13.84614	14.23609	12.90264	15.40967	14.87038	15.57639	13.27479	11.15776	11.50413	8.880691	12.37376	13.55329	9.272837	15.96817	8.785142	8.038067	9.765245	12.58792	14.32314	11.84682	9.167667	8.605129	12.73981	12.67987	13.63513	12.66832	10.77075	11.86505	10.25054	11.31842	12.62783	14.42263	11.26366	10.49907	12.25889	16.90075	13.96717	13.1719	10.11472	14.78759	12.49869	14.24505	13.02406	14.29689	13.01643
43042.1277777778	55.9333333333333	4.89573	8.507249	15.48193	20.00565	17.36454	11.58205	11.90111	12.23658	15.26254	13.60687	14.77393	7.831978	12.48347	12.09506	11.41518	15.01703	15.46661	14.06844	16.40596	16.72381	17.51421	14.4558	12.6411	12.25661	9.554806	13.81714	14.81429	10.2303	17.25277	9.937693	9.574751	10.53839	14.21728	15.2361	13.14961	9.540505	9.747683	13.93065	13.68564	15.21023	13.47858	12.07793	13.04996	11.31462	12.17608	14.01434	15.92068	12.5818	11.29973	13.32024	19.29131	15.43114	14.47618	11.25601	16.61802	13.87397	15.93572	14.33547	15.77512	14.2937
43042.4611111111	63.9333333333333	4.917938	8.66481	16.76406	21.22672	18.12548	12.85082	12.48515	13.32283	16.75187	14.27147	15.36895	8.239165	13.55194	13.24873	12.80842	15.42841	16.08743	14.9479	17.45439	18.24718	18.80654	14.90524	13.22841	12.77484	10.83903	15.11118	15.86191	10.84537	18.42997	9.825686	10.18652	11.51739	15.23004	16.17809	14.35117	10.55601	10.51406	15.13627	15.28473	16.17343	14.27461	12.98911	14.40142	11.9304	13.33202	15.23279	17.04401	13.01508	12.97977	14.19497	20.67523	16.4621	15.24453	12.10756	18.08314	14.64101	17.16721	15.54922	17.15401	15.54549
43042.7972222222	72	5.041617	8.894609	17.38792	21.55381	18.93823	13.14351	13.02593	13.82185	17.35385	15.23885	16.52727	9.273269	14.25475	14.04129	13.43208	16.25287	16.72956	15.88277	18.08039	19.16294	19.15905	15.5544	13.47131	13.58171	11.17552	16.30517	16.21781	11.59282	19.54708	10.34913	10.64501	12.06738	16.46519	17.10077	15.20994	11.11501	11.5416	16.50791	16.33664	17.26022	14.95748	13.69726	15.34524	12.53405	14.03045	16.48956	18.39429	13.57629	13.30284	15.24054	21.32555	17.47543	16.1438	13.137	19.11054	15.40953	18.27678	15.95396	17.88351	16.28324
