Label: 171123 semi log dose response PRMT5i day 																																																													
Metric: Phase Object Confluence (Percent)																																																													
Cell Type: G861																																																													
Passage: 15																																																													
Notes: 																																																													
Analysis Job: 861 DR PRMT5i 																																																													

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
43062.7972222222	0	7.5024	7.960081	9.662874	8.954016	7.591162	6.275126	6.064185	7.304618	7.719557	7.790827	7.788548	7.459538	6.532659	8.844065	10.48277	9.723159	8.249578	8.226559	5.971985	7.002377	10.00782	9.189116	7.367252	7.267506	6.666839	8.502293	9.263354	7.914767	6.995382	7.73536	6.880371	7.711096	7.427176	7.538682	6.583431	6.624738	6.078017	6.234198	7.358497	8.152992	7.455221	8.910048	5.71036	8.015013	8.102015	7.445359	7.63304	7.689251	7.90154	7.126074	7.962204	6.999508	8.817072	7.483628	7.721251	7.621936	7.124329	7.171613	9.221943	7.808544
43063.1277777778	7.93333333333333	8.320916	9.027426	11.62539	10.11622	8.178377	7.00633	6.705694	8.362103	8.764038	9.100663	8.520287	8.241048	7.440042	10.01421	11.53062	10.7784	9.189806	8.891726	6.850202	8.025961	11.03018	10.21113	8.169691	8.350343	7.235853	9.731483	10.13777	9.222773	8.277589	8.836379	7.759294	8.840645	8.501929	8.625352	7.722043	7.709542	6.732479	7.070537	8.311748	9.302487	8.863179	10.09125	6.210247	9.276426	8.785279	8.145325	8.349462	8.607962	9.023402	7.986708	8.79488	7.667629	9.724594	8.754506	8.713303	8.598999	8.239458	8.114828	10.4817	8.867203
43063.4611111111	15.9333333333333	9.556203	9.80156	12.4311	10.90414	8.875978	7.652951	7.476185	8.808836	9.404995	9.918231	9.558172	9.412645	8.401321	11.16286	12.21451	11.32683	9.54876	10.28713	7.446293	8.655814	11.95447	11.50639	9.003094	9.306822	7.836555	10.18796	11.07714	9.855664	9.053864	9.627593	8.594908	9.656951	9.353239	9.146841	8.55106	8.923882	7.748017	7.714428	9.105723	10.37671	9.739635	10.75303	6.864102	10.48761	9.976427	8.505436	9.613691	9.566305	9.937227	8.931739	9.538658	8.450933	10.95401	9.295667	9.611914	9.383271	8.918181	9.256274	11.54606	9.762325
43063.7972222222	24	10.61764	10.77861	13.67649	11.52252	9.904123	8.368147	8.5426	9.758527	10.28231	10.64781	10.49382	10.41563	8.886234	12.17344	13.903	13.28028	10.63574	10.41323	8.168482	9.565771	12.8542	12.13663	9.799334	10.01226	8.484834	11.04692	12.56802	10.85514	9.854439	10.22087	9.158619	11.08871	9.803237	10.26687	9.132956	9.641081	8.382273	8.269455	10.02585	10.85899	10.75044	11.93161	7.592181	11.15214	10.10676	10.0355	10.3049	10.23413	10.86463	9.18112	10.25866	9.473347	11.53901	10.49327	10.73642	10.46683	9.958347	10.2718	12.85042	10.61519
43064.1277777778	31.9333333333333	11.60034	12.04441	15.0892	12.66113	10.65237	9.472137	8.905956	10.37042	11.18124	11.73906	11.52677	11.33439	9.681593	12.99106	15.08968	14.23401	11.9872	11.57122	8.915298	10.29918	14.35286	13.46924	10.76307	10.75622	9.602968	11.88766	13.59694	12.293	10.88863	11.70119	10.1261	12.01479	10.64605	11.6171	10.10157	10.2687	9.404909	8.716893	10.90403	11.90278	11.57623	13.34615	8.409713	12.5039	11.1257	11.1955	11.15008	11.42229	12.28507	10.44856	11.53064	10.30635	12.87973	11.54917	11.38565	11.93174	11.16409	11.35816	13.96773	12.01761
43064.4611111111	39.9333333333333	12.45267	13.37502	16.46995	13.89903	11.32122	10.45775	9.904519	11.48481	12.33677	13.14191	12.95003	12.24578	10.54033	13.90475	17.04385	15.63192	12.46443	12.64708	9.903103	11.26863	15.86511	14.6402	11.71124	12.15623	10.34289	13.20293	15.2429	13.24742	12.23827	12.78767	11.15122	13.29194	11.4202	12.651	11.28183	10.89075	10.2155	9.962061	11.96355	13.29089	13.02197	14.22978	9.396172	13.72655	12.00774	12.04443	12.17441	12.77984	13.51265	11.77857	12.75043	11.4604	13.67761	12.67464	13.00334	13.11674	12.10183	12.75643	16.05296	13.48601
43064.7972222222	48	13.49292	14.4037	18.17667	15.00668	12.44583	11.55901	11.02065	12.45171	13.61328	14.52078	13.62376	13.35162	11.72471	15.38113	18.74644	16.51278	14.49999	13.66124	10.9715	12.34442	16.91518	15.94437	12.75237	13.00261	11.28928	14.5603	16.9949	14.44944	13.4045	14.00061	11.75788	14.3627	12.41485	13.91833	12.70407	12.16484	11.7232	10.91319	13.47159	14.96379	14.10241	15.88403	10.11738	15.98295	13.69918	14.01012	13.58042	14.04668	14.59708	12.89981	14.45889	12.7056	15.51608	13.78578	14.21954	14.27168	13.2441	14.49816	17.73567	14.59283
43065.1277777778	55.9333333333333	14.82741	15.53916	18.77176	15.9567	13.71581	12.33615	11.49594	13.55455	14.91832	14.93377	14.40719	14.0808	12.83587	16.14737	20.2625	17.36185	15.62678	14.52337	12.03218	13.48818	18.2286	17.19946	13.44998	13.94372	12.62648	16.00601	18.49977	15.73892	14.44782	14.99219	13.04352	16.02704	13.41386	14.60668	13.53139	13.53536	12.68497	11.8832	14.42748	15.86597	15.05073	18.07424	10.81593	17.17282	14.44496	14.44819	14.60893	15.40335	16.02032	14.12273	15.79284	13.92747	16.39069	14.90234	15.43274	15.56174	14.24954	15.47065	19.36022	16.04362
43065.4611111111	63.9333333333333	15.84388	16.80309	20.46429	17.68966	14.83805	13.86475	12.45657	14.05779	15.91816	16.41148	15.53772	15.06276	13.19967	17.84792	22.43009	19.27347	17.08853	15.7298	13.02567	14.58059	19.96667	19.16123	14.54788	15.28753	13.53925	17.26879	20.05246	17.4098	15.97064	16.20488	14.38743	17.55158	15.22634	16.24117	14.62017	14.47214	13.77007	12.80062	15.88935	16.93969	16.84131	19.62631	11.57203	19.85775	15.34016	16.26245	15.75595	16.33132	17.65024	15.55991	17.36509	15.6469	18.42066	15.92412	17.50687	17.13928	16.5769	17.66411	21.68898	17.97089
43065.7972222222	72	16.83571	18.137	22.24811	18.77739	15.83794	15.01865	13.41403	15.4495	17.86275	17.90306	17.37983	16.59483	14.53356	19.6071	24.78536	20.11929	18.8671	16.80625	13.79329	16.27212	22.34444	20.34635	15.41808	16.82656	14.47221	18.86745	21.75325	19.29691	17.56572	17.61428	15.78803	19.30851	16.91684	18.18762	16.31531	15.60177	15.11156	14.45706	17.62211	18.99796	17.88131	20.74179	13.12605	22.24331	17.87484	18.00512	17.28505	18.9206	19.59596	17.38481	19.38733	17.78597	20.28316	17.64851	19.06946	19.46217	18.71173	19.53232	24.45675	19.53061
43066.1277777778	79.9333333333333	17.89755	19.78721	23.73649	20.8701	17.30078	15.76567	14.43769	16.80742	19.41248	18.11397	17.79083	17.65503	15.4302	21.19142	25.63828	21.34358	19.98138	17.67545	15.06075	16.73415	23.41344	21.60859	16.27967	17.2756	15.86654	20.78871	22.39169	21.251	18.60079	18.54866	16.24468	20.9839	17.88068	19.64009	17.31489	16.97542	16.2711	15.65867	19.6178	20.68544	19.04539	22.83172	14.51137	24.59049	19.80077	20.2752	18.86062	20.29792	21.39882	18.7495	21.50031	19.96734	22.43527	19.34808	21.13069	21.3336	20.86514	21.7886	27.3136	22.0952
43066.4611111111	87.9333333333333	19.24951	20.81846	25.12411	22.04389	18.5126	16.99274	15.22109	18.03321	20.07726	20.002	19.16914	18.05844	16.71866	22.44843	28.46042	23.15466	20.87094	19.20292	16.51389	18.458	25.53346	22.682	17.67802	18.67372	17.09613	22.46679	25.71333	22.93045	19.11218	19.4357	18.74905	23.10709	19.5002	20.70276	18.81807	17.82828	18.0849	17.68498	21.52138	21.68352	21.01562	23.76675	16.03269	28.09418	21.26048	21.83791	20.16915	21.90026	24.65961	21.40906	23.97983	22.61189	24.58178	22.45531	23.03005	23.69529	23.7033	24.41264	30.20928	24.24774
43066.7972222222	96	19.99023	22.81941	25.21246	23.62088	19.516	17.85066	16.48491	19.21441	21.6204	21.39371	20.24916	18.98466	17.90226	23.73895	30.11898	24.25864	21.85814	20.07049	17.14742	20.12919	27.15906	23.64666	17.95362	20.57576	18.58397	24.12596	28.23626	24.0693	21.22852	21.11	20.54518	25.09491	21.71518	21.24606	20.04887	19.205	19.77476	19.82821	23.31303	24.11348	23.00677	25.60535	17.94029	31.66608	24.13855	23.91792	22.5865	24.45965	27.42785	23.40421	27.15187	25.02203	26.84486	24.57671	25.94385	26.73897	26.53853	27.67934	34.08804	27.12621
43067.1277777778	103.933333333333	21.31781	23.45815	27.80346	24.46734	20.74668	19.42323	17.38228	20.65565	23.83063	22.51068	20.67344	19.75502	19.02808	24.83318	31.00975	24.89172	23.91205	20.90526	18.67313	21.59529	29.12254	25.44509	19.07685	20.46095	20.29247	26.46646	31.36527	25.64534	22.13436	22.25877	23.53189	27.71594	23.40063	22.66817	21.37852	19.97031	22.27332	21.72503	25.49641	25.33985	24.65376	26.85982	19.72649	34.94405	25.53114	27.18137	24.08721	26.4814	30.53154	25.94751	30.05689	27.58194	30.10906	26.93122	28.41246	30.16053	30.01177	31.07575	38.20939	30.84252
43067.4611111111	111.933333333333	22.27977	25.02766	28.05188	26.36328	21.54699	19.66909	18.22972	21.27892	24.1204	23.16877	22.46403	20.44884	19.89461	26.25008	33.34977	27.20548	25.20053	21.62653	19.45558	22.32038	29.79263	27.2898	20.51513	22.6717	21.35572	27.75561	33.51232	27.39157	22.87914	23.14077	25.76938	30.56231	25.40214	23.65726	22.2884	21.20745	24.60537	23.85147	27.9436	27.34042	25.79434	28.25985	21.65496	38.6796	28.41335	29.42719	25.82948	28.44074	33.65915	29.3919	33.35458	31.10159	33.11296	29.98268	32.01608	33.66201	34.34264	34.47345	43.25456	34.36298
43067.7972222222	120	23.06879	26.1501	30.19079	26.97012	22.64438	20.30012	19.16608	22.53191	25.22976	24.32649	23.58389	21.42205	20.92762	27.71127	34.8358	27.47725	25.34843	23.30238	20.94993	24.25569	32.93743	28.16107	20.94631	23.69988	22.61644	30.47892	36.42853	29.15231	23.96512	24.59319	28.93819	33.02743	27.60739	25.32122	23.4723	22.73602	27.4327	26.20923	31.67005	29.37503	27.01876	29.81411	23.95173	43.46659	32.07841	30.97924	28.2507	30.81321	37.9142	33.62447	37.28545	35.17483	36.6623	33.43707	36.48209	36.97326	38.49075	39.33329	49.2177	38.77826
43068.1277777778	127.933333333333	24.08888	27.47361	31.90734	30.06712	24.49237	22.48138	20.5013	23.14399	27.99804	26.10966	26.62705	22.95768	22.77149	30.38705	38.14258	30.14292	27.63162	25.19037	23.52982	26.60109	34.73229	31.16719	23.14624	25.41185	24.65724	33.04818	40.06707	31.3068	26.77649	26.69297	29.32058	35.56219	30.76032	26.77732	25.72158	24.15053	31.24667	28.90304	34.05507	31.76961	29.41926	33.25446	26.36107	47.14303	36.15249	35.28652	30.83449	33.31692	42.26899	36.58654	41.32496	38.78602	40.21848	36.69643	39.69917	40.85165	43.38097	43.52302	54.59898	43.74963
43068.4611111111	135.933333333333	23.44852	27.64325	31.08053	29.2255	23.3621	22.34653	19.61523	23.52215	28.09804	25.13428	24.86293	22.62891	22.0722	30.0081	37.07038	28.90402	27.58931	24.23384	23.118	26.24242	34.75917	29.92764	22.75159	24.78464	25.15825	33.09385	41.26509	30.78987	26.15617	26.16143	32.11269	37.82421	31.4192	26.42179	25.01204	23.49586	32.394	30.75216	36.30193	31.68737	29.4319	32.79111	28.31734	51.94556	37.95847	36.20928	31.94941	36.01519	45.43685	40.11047	43.99808	42.23262	43.18936	38.49995	43.96396	44.68221	46.81471	48.11209	58.65814	47.50577
43068.7972222222	144	24.34951	29.09949	33.53481	30.69919	24.17157	23.66457	20.96546	24.85947	29.00407	26.741	27.17196	23.68536	24.06972	31.15106	39.90833	31.00647	28.91837	25.64196	25.26035	28.40786	38.11051	31.57633	23.85178	26.40428	26.8449	36.50851	44.83207	33.62853	27.6472	27.24488	35.53554	42.12741	35.4993	28.75665	27.04786	24.92581	36.7021	33.84018	41.59168	33.03712	31.79968	35.3433	32.1335	58.22692	43.33115	40.22211	35.16635	38.77851	50.44278	45.09771	50.13562	47.31055	47.08801	44.75639	49.23882	49.69352	53.66482	53.40417	66.92521	54.27692
43069.1277777778	151.933333333333	25.78496	29.8963	34.32552	31.64308	25.88424	24.9689	22.28545	26.40504	30.46146	28.67556	27.87595	25.27515	25.70174	32.30399	41.58301	31.67212	29.36223	26.37544	26.63116	30.39533	40.41549	32.22521	25.29279	27.9651	28.93799	38.84617	48.05287	35.34916	28.94946	28.77924	38.37284	44.35598	37.48584	29.91676	28.73014	26.84027	39.34538	36.72881	44.97617	35.54328	33.33088	36.59769	35.01728	62.77747	46.47241	43.42606	37.08912	41.31879	55.92534	49.30685	54.66297	51.89497	51.58997	48.03355	53.94392	55.18731	58.79279	58.60287	70.73191	58.94985
43069.4611111111	159.933333333333	26.40324	31.27901	35.90562	32.49792	26.71293	25.46526	23.50802	27.53182	30.68045	27.83948	30.06993	26.04875	25.78493	34.04181	43.5849	31.53501	30.76265	27.13433	28.55163	31.76869	41.6118	33.01631	26.18875	28.4183	30.95879	41.4567	52.4199	37.69816	30.21511	29.76297	41.36696	47.87146	40.18909	30.88419	29.77681	27.65355	42.78932	40.30922	48.48986	36.24086	34.86478	37.84486	37.57561	69.46156	50.07653	47.05002	39.70598	43.62035	61.08444	54.70701	60.08625	56.53645	57.03354	53.17461	58.54209	60.2913	65.92978	64.96766	77.34824	64.19454
