Label: 180216 876 DR PRMT5i																																																													
Metric: Phase Object Confluence (Percent)																																																													
Cell Type: 876																																																													
Passage: 11																																																													
Notes: 																																																													
Analysis Job: 180226 876 DR PRMT5																																																													

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
43147.6277777778	0	15.10087	12.98132	14.85449	13.74088	12.68782	16.01405	14.60083	16.84267	17.455	15.33808	15.60467	13.8403	17.79278	18.34425	15.48923	13.39899	15.34212	8.472901	15.07787	16.38216	18.36746	14.2943	11.77646	9.336576	16.48482	13.7343	16.09598	17.86576	12.448	23.99622	15.55808	14.23688	14.56738	13.83622	15.0483	14.19604	14.26006	16.47153	15.29305	15.69654	14.73697	14.64082	15.70026	13.90167	15.78479	15.97656	16.00683	15.21054	14.90937	16.65627	15.40372	17.44588	17.54947	15.19655	37.95839	17.45698	18.44771	16.59041	15.22362	17.98068
43147.7944444444	4	16.24351	13.66868	15.59821	14.1979	12.92772	15.95838	15.53537	17.55371	18.20578	16.0418	15.79157	14.15404	19.58288	18.39866	15.7688	13.97918	15.22541	9.012712	16.01331	16.43427	19.23448	15.28274	12.22046	9.448584	17.22865	14.35618	16.65991	18.99936	12.3647	26.21779	16.44621	14.88635	14.63485	13.78286	16.26986	14.95769	15.1657	17.51428	15.67171	16.11984	15.24479	14.8977	16.50167	14.21321	16.58364	16.37686	16.74191	15.96399	16.03522	16.49802	16.29683	18.12835	18.31653	16.12729	35.46409	17.38077	19.11154	17.29897	15.98533	18.76944
43147.9611111111	8	16.37805	13.92847	16.21632	14.3419	13.34356	16.78064	15.57469	17.5522	18.54527	16.53357	16.14868	14.75424	20.33488	18.83099	15.95168	14.79935	15.95109	8.994942	15.73493	17.26649	19.8558	15.49116	12.9087	10.12213	17.95877	14.69166	17.15483	19.09899	12.70355	25.43525	16.81784	15.0773	15.18041	14.87606	16.34493	15.32676	15.53734	18.50942	16.73154	16.74272	16.26778	15.43191	17.5104	14.52645	17.47037	17.07815	17.51033	16.20353	16.93361	17.9894	16.74054	18.00899	18.33138	16.63285	36.79342	17.86774	20.4292	18.06661	16.84685	20.05644
43148.1277777778	12	16.11606	14.61578	16.77997	14.51855	14.12083	17.42256	16.16818	17.63556	19.73019	16.68436	16.60816	15.33619	20.81939	19.35657	17.0256	15.65185	17.08686	9.532838	16.1631	18.07093	20.11568	16.29098	13.62829	10.46341	18.46359	15.33878	17.97308	19.78062	13.07875	25.46818	16.98529	15.93251	16.0403	15.47267	17.66188	15.91672	15.77432	18.96441	16.99164	17.45681	16.36136	15.69007	18.317	15.19317	17.03674	17.55652	18.25878	17.50974	17.1269	18.76131	17.44983	19.16421	18.95897	17.25578	35.37098	18.64238	21.52544	18.76896	17.33463	21.26186
43148.2944444444	16	16.55295	15.19797	16.44355	15.35391	14.87728	17.47738	16.14744	18.81001	20.14552	17.38735	17.39542	16.17852	23.19625	20.71295	17.83281	15.89536	17.71184	9.438238	16.87534	17.72211	20.92335	16.72937	13.48019	10.18709	19.21289	15.76562	18.59627	20.80328	13.27769	27.26497	17.31422	16.54924	16.67359	15.97385	18.10992	16.61753	16.66413	18.97956	17.35299	17.57897	17.67682	16.57614	19.19802	15.15416	17.8526	19.02166	19.15654	18.44769	17.92839	19.23603	18.20632	19.70563	19.19205	17.72562	38.23112	20.10667	21.5034	18.93322	18.13151	20.99854
43148.4611111111	20	17.47979	14.84237	17.08299	15.95703	15.2528	18.60589	16.73123	19.23842	20.54055	17.70467	17.83051	17.18721	22.51419	21.27588	18.08965	16.88482	18.57391	9.510337	17.02943	19.0678	21.76116	17.37556	14.43981	10.90673	20.2763	16.50805	19.59383	21.65748	13.82464	28.22704	18.13431	17.53383	17.19346	16.33071	18.7836	16.78756	17.32852	21.05814	18.46043	18.72173	18.23946	16.58089	19.56817	16.16994	18.5402	18.82272	19.3665	19.41225	18.25908	19.93332	18.90516	20.77137	20.06051	18.30019	37.27136	20.79197	21.98471	20.48856	18.95953	22.15572
43148.6277777778	24	17.8789	14.98736	17.14516	16.02105	15.78854	19.28902	17.08948	20.25562	22.08614	18.20894	18.10769	17.51925	24.15154	22.00559	19.24337	16.69141	17.97984	9.946086	17.64941	19.83161	21.9614	18.21483	14.34372	10.70072	21.23589	17.27989	20.30587	21.65667	13.64519	28.85047	19.95092	18.78524	18.23735	16.86971	19.76122	16.89323	18.11163	21.82485	18.71305	20.23701	19.33657	17.28547	20.28971	17.12134	20.04283	19.88081	18.63927	19.43157	18.51151	20.98141	19.95373	21.56266	20.79655	19.3188	39.40746	20.43162	22.43284	20.73077	20.23147	22.01555
43148.7944444444	28	17.9415	15.47151	17.41281	16.63057	16.17814	19.64915	17.26535	21.1611	21.69056	19.18174	18.77369	17.82619	24.66815	22.3118	19.6603	18.18397	19.11728	10.15302	18.26673	19.36529	22.96771	18.07468	14.03406	11.25326	22.93511	18.4274	21.04971	22.67476	14.80011	29.59414	19.55777	18.58686	18.62305	17.44144	20.41083	17.98042	18.3463	22.37062	19.1032	20.86795	19.26163	17.97289	21.19717	17.06339	19.25546	20.92709	20.62583	19.73646	19.81544	20.78244	20.13484	23.13475	21.66628	20.08495	36.59149	20.55231	24.13905	22.175	20.63287	23.18689
43148.9611111111	32	17.84622	16.43436	17.72431	17.34335	16.30742	19.27705	17.47311	20.97036	23.05084	19.43303	19.41475	18.46722	24.62316	22.81661	20.40791	18.38122	19.71801	10.01045	19.12342	20.20596	22.5071	18.63453	15.4517	11.42145	23.23687	19.31822	21.33393	23.50605	14.26152	30.50209	20.97932	18.84406	18.98455	18.31235	20.40651	18.30028	19.35136	23.44137	19.38494	21.43151	20.01924	18.43308	21.9366	17.41232	21.62075	21.60807	21.43148	22.02648	20.20954	22.33793	20.60694	24.01836	21.82056	21.26437	39.8612	21.75627	23.70652	22.19848	21.48425	23.6898
43149.1277777778	36	17.922	15.90194	18.54426	16.88239	16.18227	20.43411	18.18416	22.15745	23.22951	18.99543	20.05118	19.0421	25.42017	22.73926	21.31446	18.69037	20.24511	10.43392	20.03675	20.83066	24.02908	19.0784	15.55532	12.05605	23.37407	19.6706	22.51487	23.73836	14.91001	30.15656	20.47433	20.28692	20.39216	18.02242	21.34125	18.55372	19.61106	23.87309	20.21875	22.26054	20.14958	19.22759	22.20216	17.77005	21.35361	21.94846	22.19387	23.24198	21.37321	22.7725	22.25464	24.45708	21.59099	21.50985	40.36379	22.61612	25.37742	23.81131	21.5213	26.10379
