Label: G895																																																													
Metric: G523 Confluence (Percent																																																													
Cell Type: G895																																																													
Passage: 1																																																													
Notes: 																																																													
Analysis Job: G895 confluence PRMT5i dose response																																																													

Date Time	Elapsed	B2	C2	D2	B3	C3	D3	B4	C4	D4	B5	C5	D5	B6	C6	D6	B7	C7	D7	B8	C8	D8	B9	C9	D9	B10	C10	D10	B11	C11	D11	E11	F11	G11	E2	F2	G2	E3	F3	G3	E4	F4	G4	E5	F5	G5	E6	F6	G6	E7	F7	G7	E8	F8	G8	E9	F9	G9	E10	F10	G10
43110	0	8.003201	8.063296	8.026619	7.190487	7.433082	8.584183	7.665505	7.608812	9.913223	10.70459	8.349013	10.52088	6.843674	7.920327	7.723218	7.543759	7.601766	7.909862	8.463006	6.227533	8.673514	9.536674	9.067127	7.752664	6.630159	8.197097	8.390149	7.175205	6.761248	6.854553	7.051213	7.920552	7.184771	7.818043	7.87598	7.81906	7.361416	7.633402	7.258302	6.829634	6.866279	7.101984	7.017021	7.793157	8.919341	8.278918	7.137265	7.404139	7.5258	7.386559	7.926751	6.725813	7.317242	6.951087	6.61308	7.557315	8.190328	7.387128	6.671139	7.835207
43110.3333333333	8	9.073465	8.639599	8.719605	7.838074	8.338082	9.472932	8.895266	8.409506	10.30307	11.60153	9.221928	11.73534	7.662828	8.515745	8.8967	8.587982	8.129576	8.644659	9.027254	7.095127	10.08434	10.78783	9.868323	8.50775	7.583615	8.819179	9.137308	8.605285	7.540461	7.944816	7.656441	8.63858	7.826626	8.699729	8.636076	8.138124	7.667509	8.883125	8.515902	7.504162	7.487013	7.874132	7.506958	9.018704	9.610359	9.034937	7.836832	6.916481	8.292836	8.018002	8.907511	7.49974	8.79324	7.723909	7.366251	8.450175	8.794847	8.00049	7.810738	8.65008
43110.6673611111	16.01666667	9.796553	10.44844	9.256689	9.23785	9.539313	10.44228	9.762085	9.523461	11.83483	13.73309	11.01612	12.72066	9.003612	10.20224	9.815065	9.989674	8.786076	9.98444	11.15552	8.355473	11.31797	11.99288	11.65858	9.813478	8.401476	10.1037	10.65569	9.128397	8.694135	9.305112	8.804811	9.762291	8.847829	9.894105	9.642393	9.053038	8.533308	9.742657	8.879415	8.77737	8.705324	8.58085	9.126619	10.0377	9.99943	10.28765	8.575928	7.200779	9.602175	9.407932	10.32113	9.143888	9.759113	11.48387	8.427794	9.870257	9.793358	8.712887	8.802877	10.03557
43111	24	10.91199	10.64108	10.28033	10.05975	10.25639	11.40378	10.99514	9.963182	12.83087	14.95881	12.14963	13.82056	9.974527	11.56853	11.15871	10.92729	10.04006	11.01837	12.48587	9.44169	12.78421	12.78304	12.70604	10.68088	9.603416	11.92719	11.98578	10.17785	9.434076	10.37693	10.4037	11.28751	9.966861	10.71561	10.99342	9.987669	9.284234	10.28463	10.48006	9.458477	9.588669	9.545393	9.753329	11.18312	10.55756	11.29961	9.308444	7.400323	10.93798	10.38765	10.74906	9.84722	10.80251	12.49176	9.196507	10.98114	10.79313	9.782825	9.547087	11.32346
43111.3333333333	32	11.26934	11.76512	10.97414	10.83412	11.27625	12.54633	12.11198	11.40962	14.31704	15.74966	12.88681	15.97426	11.1587	12.79818	12.46344	11.6544	11.32674	11.9776	13.90993	10.18048	13.81688	14.39272	14.18412	12.50242	10.65102	13.10203	13.14933	11.31921	10.62412	11.58681	11.01253	12.27405	10.98637	11.97445	11.13911	10.67425	10.47846	11.44053	11.18795	10.3191	10.4397	10.23784	11.03282	11.91354	11.1325	12.03353	10.90573	7.251222	12.13922	11.13734	11.9764	10.4992	11.72008	12.62789	10.19861	12.03617	11.43167	11.03408	11.24858	12.35794
43111.6673611111	40.01666667	12.5049	12.23357	11.53698	11.80858	13.16368	13.43199	12.98491	12.53437	15.14207	17.11751	14.23241	16.80623	11.62897	13.65856	14.51711	13.46829	12.11019	13.9889	15.16467	11.90453	15.78655	15.91189	16.15968	13.59361	12.37881	14.8529	14.4151	12.54637	11.74362	12.69082	12.2468	13.93262	12.46643	12.71194	12.3403	11.07222	11.16329	12.99106	12.05817	11.06855	11.59496	10.49022	11.4726	13.1369	11.75108	13.39697	11.15165	7.249807	12.92297	12.40954	12.97004	11.90785	13.2335	13.88423	11.67238	13.34582	12.27512	12.09131	12.74057	13.6626
43112	48	13.4475	13.387	12.89739	12.13536	13.80685	14.66503	14.21648	13.78896	16.29657	18.74327	15.43302	19.13736	13.82914	15.18789	16.41649	15.23481	14.45482	15.67734	16.95455	13.54842	17.5881	17.36847	17.47746	15.96826	13.95153	16.40834	15.99968	14.34231	13.19023	14.0586	13.84116	15.44623	13.89767	13.80923	13.7262	12.20358	12.1957	14.76037	13.33167	12.10452	13.24744	11.28808	12.67892	14.13859	12.25734	14.53115	12.77533	7.456828	14.71247	13.43408	13.81493	12.96488	14.66609	14.77619	12.89092	14.63885	13.92236	14.20191	14.37666	14.65263
43112.3333333333	56	13.93782	14.33675	13.65255	13.50464	14.21279	16.36941	14.98537	14.47573	17.58311	20.18941	16.15222	19.76804	14.72302	16.42535	17.67124	16.46417	14.71572	17.42456	18.38141	15.34878	19.16782	19.25671	19.72575	17.24286	15.69081	17.87829	18.12947	16.30878	14.7697	15.41867	15.71375	16.75072	14.33488	14.40035	14.17039	12.78651	13.41567	14.76942	14.06017	12.97132	13.61953	11.87597	13.84878	15.67175	13.00845	15.41344	13.27728	7.336065	15.80427	14.8562	14.73404	13.76568	15.93056	15.88598	13.36146	16.00155	14.87428	15.35731	15.78961	15.92892
43112.6673611111	64.01666667	14.97258	14.6754	15.45789	14.4519	15.13188	16.73925	15.95743	16.12628	19.09792	21.54295	17.77803	22.46869	15.68979	18.65523	18.5417	18.28175	16.96479	18.65542	20.9056	17.34805	20.97939	21.67309	22.37621	18.79103	17.84329	20.811	20.41323	17.73955	16.98236	18.55783	17.74694	18.97331	16.57538	15.79859	14.79498	13.02137	13.32307	16.06753	14.7562	13.86853	14.16903	12.98939	14.32385	16.3524	13.57173	16.36803	14.60912	7.958751	16.6625	15.3002	15.77308	15.52572	17.12245	17.16011	14.76008	17.01688	15.78239	17.51595	18.55983	17.81008
43113	72	16.01864	15.97754	15.44343	15.31742	16.59585	17.95424	17.28129	17.27721	20.12069	22.98937	18.63604	23.45304	17.76953	20.52249	21.28707	19.62445	19.12754	21.61799	23.15757	19.11532	23.5398	23.29305	24.31108	22.20705	19.817	23.5416	22.99882	19.86169	19.62317	20.4835	20.05068	21.46118	18.93303	16.85367	16.14383	14.5285	14.42235	16.56416	15.31728	14.62435	15.92996	13.8006	15.64234	17.33558	14.77008	17.93026	15.62375	8.068029	19.03822	16.90515	16.74401	16.77722	18.79113	18.86116	16.00839	19.1384	17.01959	19.812	20.8062	20.04749
